time	V(tr)	V(vc)
2.815671369524838e-002	0.000000e+000	6.307555e-001
2.825534650774838e-002	0.000000e+000	6.309342e-001
2.835397932024838e-002	0.000000e+000	6.309330e-001
2.845261213274838e-002	0.000000e+000	6.309183e-001
2.855124494524838e-002	0.000000e+000	6.309156e-001
2.864987775774838e-002	0.000000e+000	6.309152e-001
2.991801391846265e-002	0.000000e+000	6.309151e-001
3.118615007917693e-002	0.000000e+000	6.309151e-001
3.245428623989120e-002	0.000000e+000	6.309151e-001
3.372242240060547e-002	0.000000e+000	6.309151e-001
3.499055856131975e-002	0.000000e+000	6.309151e-001
3.625869472203402e-002	0.000000e+000	6.309151e-001
3.752683088274830e-002	0.000000e+000	6.309151e-001
4.399000000000000e-002	0.000000e+000	6.309151e-001
4.400000000000000e-002	3.000000e+000	6.309151e-001
4.799000000000000e-002	3.000000e+000	6.309151e-001
4.799300000000000e-002	2.100000e+000	6.309151e-001
4.799700000000001e-002	9.000000e-001	6.309151e-001
4.800000000000000e-002	0.000000e+000	6.309151e-001
4.800080000000000e-002	0.000000e+000	6.309151e-001
4.800240000000000e-002	0.000000e+000	6.309150e-001
4.800560000000000e-002	0.000000e+000	6.309150e-001
4.803793426405358e-002	0.000000e+000	6.309143e-001
4.807251328279168e-002	0.000000e+000	6.309140e-001
4.814167132026787e-002	0.000000e+000	6.309136e-001
4.824030413276787e-002	0.000000e+000	6.309134e-001
5.106168925665817e-002	0.000000e+000	6.309135e-001
5.388307438054848e-002	0.000000e+000	6.309137e-001
5.670445950443878e-002	0.000000e+000	6.309138e-001
5.952584462832909e-002	0.000000e+000	6.309139e-001
6.234722975221939e-002	0.000000e+000	6.309140e-001
6.516861487610970e-002	0.000000e+000	6.309142e-001
6.799000000000000e-002	0.000000e+000	6.309143e-001
6.799019714521411e-002	-5.914357e-002	6.309143e-001
6.799059143564233e-002	-1.774307e-001	6.309143e-001
6.799123190232680e-002	-3.695707e-001	6.309142e-001
6.799182233007264e-002	-5.466990e-001	6.309140e-001
6.799246109508608e-002	-7.383285e-001	6.309137e-001
6.799302723981031e-002	-9.081720e-001	6.309131e-001
6.799358872959924e-002	-1.076619e+000	6.308979e-001
6.799434998492360e-002	-1.304995e+000	6.307839e-001
6.799514264737078e-002	-1.542794e+000	6.304743e-001
6.799571841153221e-002	-1.715523e+000	6.301117e-001
6.799572971209017e-002	-1.718914e+000	6.301029e-001
6.799619439992719e-002	-1.858320e+000	6.297173e-001
6.799665908776420e-002	-1.997726e+000	6.293340e-001
6.799712377560122e-002	-2.137133e+000	6.289530e-001
6.799758846343822e-002	-2.276539e+000	6.285743e-001
6.799805315127523e-002	-2.415946e+000	6.281979e-001
6.799851783911225e-002	-2.555352e+000	6.278238e-001
6.799898252694926e-002	-2.694758e+000	6.274520e-001
6.800000000000001e-002	-3.000000e+000	6.266425e-001
6.800249501750220e-002	-3.000000e+000	6.247218e-001
6.800499003500439e-002	-3.000000e+000	6.228503e-001
6.800748505250659e-002	-3.000000e+000	6.210281e-001
6.800998007000879e-002	-3.000000e+000	6.192550e-001
6.801247508751099e-002	-3.000000e+000	6.175311e-001
6.801497010501317e-002	-3.000000e+000	6.158564e-001
6.801746512251537e-002	-3.000000e+000	6.142309e-001
6.803095409305036e-002	-3.000000e+000	6.058947e-001
6.805793203412035e-002	-3.000000e+000	5.908329e-001
6.811188791626033e-002	-3.000000e+000	5.636095e-001
6.821052072876033e-002	-3.000000e+000	5.172158e-001
6.830915354126033e-002	-3.000000e+000	4.724167e-001
6.840778635376033e-002	-3.000000e+000	4.282952e-001
6.850641916626032e-002	-3.000000e+000	3.844689e-001
6.860505197876032e-002	-3.000000e+000	3.408723e-001
6.870368479126032e-002	-3.000000e+000	2.974928e-001
6.899958322876032e-002	-3.000000e+000	1.686320e-001
6.929548166626032e-002	-3.000000e+000	4.166389e-002
6.939411447876032e-002	-3.000000e+000	-2.431003e-004
6.959138010376031e-002	-3.000000e+000	-8.343960e-002
6.987318813947460e-002	-3.000000e+000	-2.008225e-001
7.015499617518888e-002	-3.000000e+000	-3.166178e-001
7.043680421090316e-002	-3.000000e+000	-4.308256e-001
7.071861224661745e-002	-3.000000e+000	-5.434458e-001
7.100042028233174e-002	-3.000000e+000	-6.544785e-001
7.128222831804601e-002	-3.000000e+000	-7.639236e-001
7.156403635376030e-002	-3.000000e+000	-8.717812e-001
7.199000000000000e-002	-3.000000e+000	-1.032022e+000
7.199039587396933e-002	-2.881238e+000	-1.032170e+000
7.199172310792849e-002	-2.483068e+000	-1.032663e+000
7.199226859161478e-002	-2.319422e+000	-1.032865e+000
7.199279352053670e-002	-2.161944e+000	-1.033046e+000
7.199351977899658e-002	-1.944066e+000	-1.033205e+000
7.199431029127652e-002	-1.706913e+000	-1.033188e+000
7.199486608773377e-002	-1.540174e+000	-1.033042e+000
7.199487735283823e-002	-1.536794e+000	-1.033037e+000
7.199549565900153e-002	-1.351302e+000	-1.032744e+000
7.199611396516482e-002	-1.165810e+000	-1.032451e+000
7.199673227132812e-002	-9.803186e-001	-1.032157e+000
7.199735057749140e-002	-7.948268e-001	-1.031863e+000
7.199796888365470e-002	-6.093349e-001	-1.031570e+000
7.199858718981800e-002	-4.238431e-001	-1.031276e+000
7.199920549598129e-002	-2.383512e-001	-1.030982e+000
7.200000000000000e-002	0.000000e+000	-1.030604e+000
7.233706587203609e-002	0.000000e+000	-8.718483e-001
7.267413174407217e-002	0.000000e+000	-7.156338e-001
7.301119761610826e-002	0.000000e+000	-5.619604e-001
7.334826348814434e-002	0.000000e+000	-4.108281e-001
7.368532936018044e-002	0.000000e+000	-2.622369e-001
7.402239523221652e-002	0.000000e+000	-1.161869e-001
7.435946110425261e-002	0.000000e+000	2.732204e-002
7.455672672925261e-002	0.000000e+000	1.102507e-001
7.462717873818117e-002	0.000000e+000	1.396695e-001
7.469763074710975e-002	0.000000e+000	1.689857e-001
7.476808275603832e-002	0.000000e+000	1.981994e-001
7.483853476496689e-002	0.000000e+000	2.273104e-001
7.490898677389546e-002	0.000000e+000	2.563189e-001
7.497943878282404e-002	0.000000e+000	2.852248e-001
7.504989079175260e-002	0.000000e+000	3.140281e-001
7.514852360425260e-002	0.000000e+000	3.541832e-001
7.524715641675260e-002	0.000000e+000	3.941373e-001
7.534578922925260e-002	0.000000e+000	4.338793e-001
7.544442204175260e-002	0.000000e+000	4.733554e-001
7.554305485425260e-002	0.000000e+000	5.123262e-001
7.564168766675260e-002	0.000000e+000	5.498629e-001
7.574032047925260e-002	0.000000e+000	5.833582e-001
7.583895329175260e-002	0.000000e+000	6.086498e-001
7.593758610425259e-002	0.000000e+000	6.232156e-001
7.603621891675259e-002	0.000000e+000	6.290579e-001
7.613485172925259e-002	0.000000e+000	6.305964e-001
7.623348454175259e-002	0.000000e+000	6.308715e-001
7.633211735425259e-002	0.000000e+000	6.309116e-001
7.643075016675259e-002	0.000000e+000	6.309152e-001
7.652938297925259e-002	0.000000e+000	6.309146e-001
7.682528141675259e-002	0.000000e+000	6.309145e-001
8.520907047925251e-002	0.000000e+000	6.309147e-001
9.199000000000000e-002	0.000000e+000	6.309148e-001
