TIME  IN1  IN2
3.174  -3.50647  -4.20166
3.164  -3.165894  -4.182739
3.154  -2.996826  -4.173584
3.145  -2.831421  -4.165039
3.135  -2.664185  -4.157104
3.125  -2.498169  -4.14917
3.115  -2.167358  -4.134521
3.105  -2.004395  -4.127808
3.096  -1.84082  -4.120483
3.086  -1.677246  -4.11377
3.076  -1.514282  -4.107666
3.066  -1.190796  -4.095459
3.057  -1.030273  -4.089355
3.047  -0.869141  -4.084473
3.037  -0.708008  -4.07959
3.027  -0.548096  -4.073486
3.018  -0.388794  -4.069214
3.008  -0.070801  -4.060669
2.998  0.087891  -4.046021
2.988  0.245361  -4.019165
2.979  0.43335  0.730591
2.969  0.610352  4.805298
2.959  0.922241  4.787598
2.949  1.079102  4.761963
2.939  1.235962  4.736328
2.93  1.392212  4.712524
2.92  1.548462  4.688721
2.91  1.862183  4.647827
2.9  2.018433  4.630737
2.891  2.174072  4.613647
2.881  2.329712  4.598389
2.871  2.485962  4.585571
2.861  2.797241  4.560547
2.852  2.953491  4.550781
2.842  3.1073  4.540405
2.832  3.26355  4.53186
2.822  3.4198  4.525146
2.813  3.7323  4.512939
2.803  3.886719  4.508057
2.793  4.042969  4.506226
2.783  4.199219  4.503784
2.773  4.356689  4.505615
2.764  4.514771  4.515381
2.754  4.832153  4.727783
2.744  4.912109  4.822998
2.734  4.73999  4.669189
2.725  4.558105  4.512939
2.715  4.379883  4.46228
2.705  4.029541  4.430542
2.695  3.856812  4.418945
2.686  3.685303  4.40979
2.676  3.514404  4.399414
2.666  3.343506  4.390259
2.656  3.004761  4.373779
2.646  2.836914  4.365845
2.637  2.671509  4.359741
2.627  2.504272  4.352417
2.617  2.338867  4.345703
2.607  2.010498  4.333496
2.598  1.847534  4.326782
2.588  1.68396  4.320679
2.578  1.520996  4.315796
2.568  1.358643  4.310303
2.559  1.035767  4.299316
2.549  0.875854  4.295044
2.539  0.714722  4.28894
2.529  0.554199  4.284058
2.52  0.394287  4.279785
2.51  0.234375  4.274902
2.5  -0.082397  4.266968
2.49  -0.24231  4.261475
2.48  -0.412598  2.301025
2.471  -0.610352  -4.567261
2.461  -0.761108  -4.592285
2.451  -1.075439  -4.553223
2.441  -1.231079  -4.524536
2.432  -1.38916  -4.498291
2.422  -1.5448  -4.473877
2.412  -1.70166  -4.451294
2.402  -2.015381  -4.40979
2.393  -2.171631  -4.391479
2.383  -2.327881  -4.375
2.373  -2.48291  -4.359131
2.363  -2.63916  -4.344482
2.354  -2.95166  -4.320068
2.344  -3.10791  -4.308472
2.334  -3.261719  -4.296875
2.324  -3.417358  -4.287109
2.314  -3.573608  -4.278564
2.305  -3.884888  -4.263306
2.295  -4.038696  -4.256592
2.285  -4.194336  -4.249878
2.275  -4.349976  -4.244385
2.266  -4.505005  -4.231567
2.256  -4.65332  -3.119507
2.246  -4.866333  1.911011
2.236  -4.727173  -0.738525
2.227  -4.564209  -3.621216
2.217  -4.388428  -4.237061
2.207  -4.210815  -4.240723
2.197  -3.862915  -4.223633
2.188  -3.690796  -4.213257
2.178  -3.518677  -4.202881
2.168  -3.347778  -4.192505
2.158  -3.178101  -4.18335
2.148  -2.843628  -4.16626
2.139  -2.675781  -4.157715
2.129  -2.509766  -4.14978
2.119  -2.34375  -4.141846
2.109  -2.178955  -4.134521
2.1  -1.851807  -4.121094
2.09  -1.688843  -4.11377
2.08  -1.525879  -4.108887
2.07  -1.363525  -4.102173
2.061  -1.201172  -4.096069
2.051  -0.880127  -4.084473
2.041  -0.719604  -4.07959
2.031  -0.559082  -4.073486
2.021  -0.39978  -4.069824
2.012  -0.241089  -4.066162
2.002  -0.081787  -4.06189
1.992  0.234985  -4.022217
1.982  0.419312  0.122681
1.973  0.600586  4.803467
1.963  0.755005  4.805908
1.953  0.911255  4.788208
1.943  1.224976  4.738159
1.934  1.381226  4.714355
1.924  1.538086  4.690552
1.914  1.694336  4.669189
1.904  1.851196  4.650269
1.895  2.164307  4.614868
1.885  2.319336  4.60022
1.875  2.474976  4.585571
1.865  2.631226  4.572754
1.855  2.786865  4.561157
1.846  3.096924  4.541016
1.836  3.253784  4.532471
1.826  3.410034  4.526367
1.816  3.566284  4.519043
1.807  3.721924  4.512939
1.797  4.033813  4.506226
1.787  4.190674  4.504395
1.777  4.347534  4.506226
1.768  4.505005  4.51416
1.758  4.663086  4.567261
1.748  4.822388  4.718018
1.738  4.755859  4.683838
1.729  4.573364  4.522705
1.719  4.395142  4.465332
1.709  4.21814  4.445801
