TIME  IN1  IN2
3.193  -3.765869  4.384155
3.184  -3.59375  4.377441
3.174  -3.421631  4.372559
3.164  -3.080444  4.361572
3.154  -2.911987  4.3573
3.145  -2.744141  4.351807
3.135  -2.578125  4.346924
3.125  -2.410278  4.343872
3.115  -2.079468  4.335938
3.105  -1.915894  4.332275
3.096  -1.751709  4.330444
3.086  -1.588135  4.326782
3.076  -1.425171  4.32373
3.066  -1.101074  4.318237
3.057  -0.93811  4.316406
3.047  -0.777588  4.313965
3.037  -0.615845  4.313354
3.027  -0.455322  4.310303
3.018  -0.296021  4.308472
3.008  0.023804  4.30603
2.998  0.183105  4.303589
2.988  0.341187  4.302368
2.979  0.499878  4.301147
2.969  0.658569  4.299927
2.959  0.975952  4.298706
2.949  1.134033  4.297485
2.939  1.291504  4.295654
2.93  1.448975  4.295654
2.92  1.600952  0.541382
2.91  1.917725  -4.595947
2.9  2.078247  -4.576416
2.891  2.233276  -4.54834
2.881  2.391357  -4.517822
2.871  2.546387  -4.489746
2.861  2.861938  -4.435425
2.852  3.016357  -4.412842
2.842  3.173218  -4.389648
2.832  3.329468  -4.368896
2.822  3.486328  -4.348755
2.813  3.800049  -4.312744
2.803  3.955078  -4.296875
2.793  4.111938  -4.282227
2.783  4.269409  -4.268799
2.773  4.428101  -4.25415
2.764  4.586182  -4.242554
2.754  4.901123  -4.219971
2.744  4.839478  -4.208374
2.734  4.65332  -4.194336
2.725  4.473267  -4.185791
2.715  4.296265  -4.177246
2.705  3.945312  -4.161987
2.695  3.770752  -4.155884
2.686  3.599854  -4.14856
2.676  3.427124  -4.143066
2.666  3.256226  -4.137573
2.656  2.91626  -4.126587
2.646  2.749023  -4.121704
2.637  2.581787  -4.116821
2.627  2.41394  -4.11377
2.617  2.249756  -4.108887
2.607  1.920166  -4.101562
2.598  1.755981  -4.099121
2.588  1.592407  -4.095459
2.578  1.429443  -4.092407
2.568  1.265869  -4.089966
2.559  0.942993  -4.085693
2.549  0.782471  -4.082031
2.539  0.620117  -4.080811
2.529  0.458984  -4.078979
2.52  0.297852  -4.076538
2.51  0.13916  -4.074097
2.5  -0.180664  -4.071655
2.49  -0.339355  -4.069824
2.48  -0.499268  -4.069214
2.471  -0.657349  -4.067993
2.461  -0.814819  -4.066162
2.451  -1.132202  -4.063721
2.441  -1.290283  -4.048462
2.432  -1.445923  -1.593018
2.422  -1.59668  4.82666
2.412  -1.760254  4.828491
2.402  -2.077026  4.781494
2.393  -2.235107  4.750977
2.383  -2.391357  4.72168
2.373  -2.548218  4.694214
2.363  -2.705688  4.668579
2.354  -3.018799  4.620972
2.344  -3.173828  4.60083
2.334  -3.331299  4.580078
2.324  -3.488159  4.561157
2.314  -3.644409  4.545288
2.305  -3.95752  4.511719
2.295  -4.111938  4.498291
2.285  -4.268188  4.484863
2.275  -4.424438  4.472046
2.266  -4.578857  4.460449
2.256  -4.735107  4.450073
2.246  -4.840088  4.429932
2.236  -4.661255  4.421387
2.227  -4.481812  4.412231
2.217  -4.30542  4.403687
2.207  -4.127808  4.397583
2.197  -3.779297  4.383545
2.188  -3.606567  4.376831
2.178  -3.435669  4.371948
2.168  -3.262939  4.366455
2.158  -3.093262  4.360962
2.148  -2.758179  4.351196
2.139  -2.590332  4.346924
2.129  -2.423706  4.342651
2.119  -2.25769  4.3396
2.109  -2.092285  4.335327
2.1  -1.763306  4.329834
2.09  -1.599731  4.326782
2.08  -1.436768  4.32312
2.07  -1.273804  4.321289
2.061  -1.112671  4.318237
2.051  -0.788574  4.315186
2.041  -0.628052  4.312134
2.031  -0.466919  4.309692
2.021  -0.307007  4.309082
2.012  -0.147095  4.307861
2.002  0.011597  4.30542
1.992  0.328369  4.302368
1.982  0.488281  4.301147
1.973  0.646973  4.299927
1.963  0.805054  4.299316
1.953  0.964355  4.298096
1.943  1.281128  4.296875
1.934  1.437378  4.295044
1.924  1.590576  1.151733
1.914  1.744995  -4.581909
1.904  1.907349  -4.596558
1.895  2.2229  -4.550171
1.885  2.37915  -4.520874
1.875  2.536011  -4.490967
1.865  2.693481  -4.464111
1.855  2.849121  -4.438477
1.846  3.162231  -4.390869
1.836  3.317871  -4.370728
1.826  3.475952  -4.349976
1.816  3.631592  -4.332275
1.807  3.789673  -4.314575
1.797  4.101562  -4.282837
1.787  4.259644  -4.268799
1.777  4.417114  -4.255981
1.768  4.577026  -4.243164
1.758  4.734497  -4.230957
1.748  4.893799  -4.220581
1.738  4.665527  -4.195557
1.729  4.486694  -4.185791
1.719  4.309082  -4.177856
1.709  4.13147  -4.171143
1.699  3.95813  -4.162598
1.689  3.612671  -4.14917
1.68  3.439941  -4.143066
1.67  3.269043  -4.136963
1.66  3.098755  -4.13147
1.65  2.928467  -4.127197
1.641  2.593384  -4.117432
1.631  2.427368  -4.113159
1.621  2.260132  -4.109497
1.611  2.096558  -4.104614
1.602  1.931152  -4.102173
1.592  1.604004  -4.095459
1.582  1.44043  -4.092407
1.572  1.277466  -4.089966
1.563  1.115723  -4.086914
1.553  0.955811  -4.084473
1.543  0.632324  -4.080811
1.533  0.469971  -4.07959
1.523  0.310669  -4.076538
1.514  0.150757  -4.074707
1.504  -0.009155  -4.073486
1.494  -0.169067  -4.072266
1.484  -0.48645  -4.069214
1.475  -0.644531  -4.067383
1.465  -0.802002  -4.066162
1.455  -0.960693  -4.066772
