TIME  IN1  IN2
3.193  3.676758  0.349731
3.184  3.674927  0.377808
3.174  3.674316  0.405884
3.164  3.672485  0.459595
3.154  3.672485  0.487061
3.145  3.672485  0.513306
3.135  3.671265  0.53833
3.125  3.672485  0.565186
3.115  3.674927  0.616455
3.105  3.674927  0.640869
3.096  3.676147  0.666504
3.086  0.651855  0.668945
3.076  -3.659668  0.616455
3.066  -3.635254  0.535889
3.057  -3.613892  0.498047
3.047  -3.595581  0.459595
3.037  -3.57666  0.422974
3.027  -3.55957  0.386963
3.018  -3.544312  0.351562
3.008  -3.517456  0.283203
2.998  -3.505859  0.249023
2.988  -3.494873  0.217285
2.979  -3.484497  0.184937
2.969  -3.475952  0.152588
2.959  -3.460693  0.090332
2.949  -3.452759  0.061035
2.939  -3.447876  0.029907
2.93  -3.441772  0.001221
2.92  -3.438721  -0.029297
2.91  -3.435059  -0.08606
2.9  -3.430786  -0.114136
2.891  -3.428955  -0.142822
2.881  -3.425903  -0.169678
2.871  -3.424072  -0.197754
2.861  -3.417969  -0.250244
2.852  -3.416748  -0.27771
2.842  -3.414917  -0.303345
2.832  -3.414307  -0.3302
2.822  -3.411865  -0.355225
2.813  -3.408813  -0.405884
2.803  -3.407593  -0.430908
2.793  -3.405762  -0.454712
2.783  -3.405151  -0.480347
2.773  -3.40332  -0.50415
2.764  -3.400269  -0.527344
2.754  -3.391113  -0.574341
2.744  -3.381958  -0.598145
2.734  0.249023  -0.592041
2.725  3.935547  -0.53833
2.715  3.928223  -0.496216
2.705  3.88916  -0.414429
2.695  3.867798  -0.375977
2.686  3.848877  -0.337524
2.676  3.831787  -0.299072
2.666  3.814697  -0.262451
2.656  3.786011  -0.19165
2.646  3.773804  -0.15625
2.637  3.761597  -0.12207
2.627  3.751831  -0.089111
2.617  3.741455  -0.055542
2.607  3.725586  0.009766
2.598  3.717041  0.040894
2.588  3.710327  0.072632
2.578  3.704834  0.103149
2.568  3.700562  0.134277
2.559  3.691406  0.194702
2.549  3.687744  0.223389
2.539  3.684692  0.252686
2.529  3.68042  0.280762
2.52  3.67981  0.310059
2.51  3.676758  0.336914
2.5  3.674316  0.393677
2.49  3.673706  0.420532
2.48  3.673096  0.448608
2.471  3.671875  0.474243
2.461  3.672485  0.501709
2.451  3.671875  0.553589
2.441  3.673706  0.579834
2.432  3.674316  0.605469
2.422  3.673706  0.630493
2.412  3.676147  0.656128
2.402  -3.427124  0.634155
2.393  -3.657227  0.593262
2.383  -3.642578  0.553589
2.373  -3.623657  0.513306
2.363  -3.602905  0.476074
2.354  -3.566284  0.402222
2.344  -3.551025  0.366211
2.334  -3.535767  0.331421
2.324  -3.522339  0.297852
2.314  -3.510132  0.263672
2.305  -3.48877  0.198364
2.295  -3.479004  0.166626
2.285  -3.471069  0.134888
2.275  -3.463135  0.10376
2.266  -3.4552  0.074463
2.256  -3.449707  0.043335
2.246  -3.439941  -0.016479
2.236  -3.43689  -0.045776
2.227  -3.43689  -0.074463
2.217  -3.433228  -0.102539
2.207  -3.429565  -0.130615
2.197  -3.424072  -0.185547
2.188  -3.421631  -0.213013
2.178  -3.42041  -0.240479
2.168  -3.417358  -0.266113
2.158  -3.415527  -0.292358
2.148  -3.413086  -0.344849
2.139  -3.411255  -0.369873
2.129  -3.408813  -0.394287
2.119  -3.408813  -0.420532
2.109  -3.406372  -0.444946
2.1  -3.403931  -0.493164
2.09  -3.4021  -0.518188
2.08  -3.397827  -0.541382
2.07  -3.394165  -0.565796
2.061  -3.38562  -0.588379
2.051  3.925171  -0.556641
2.041  3.933716  -0.515137
2.031  3.918457  -0.473633
2.021  3.898315  -0.431519
2.012  3.878174  -0.393066
2.002  3.856812  -0.354004
1.992  3.822632  -0.27832
1.982  3.806152  -0.24231
1.973  3.792114  -0.206299
1.963  3.779907  -0.171509
1.953  3.76709  -0.137939
1.943  3.746338  -0.06958
1.934  3.736572  -0.037842
1.924  3.728638  -0.004272
1.914  3.720703  0.027466
1.904  3.7146  0.059204
1.895  3.701782  0.120239
1.885  3.69751  0.151367
1.875  3.693237  0.181274
1.865  3.688354  0.210571
1.855  3.686523  0.239868
1.846  3.67981  0.297241
1.836  3.677979  0.325928
1.826  3.677368  0.354004
1.816  3.674316  0.38147
1.807  3.673706  0.409546
1.797  3.672485  0.463257
1.787  3.672485  0.490112
1.777  3.673096  0.516357
1.768  3.672485  0.541992
1.758  3.673706  0.568848
1.748  3.673096  0.593872
1.738  3.675537  0.645752
1.729  3.676147  0.670166
1.719  -0.393066  0.662231
1.709  -3.660278  0.610962
1.699  -3.651123  0.569458
1.689  -3.61145  0.492554
1.68  -3.591919  0.454712
1.67  -3.573608  0.418091
1.66  -3.55835  0.38147
1.65  -3.54187  0.34668
1.641  -3.514404  0.27832
1.631  -3.504028  0.244141
1.621  -3.492432  0.213013
1.611  -3.482666  0.180054
1.602  -3.474121  0.148926
1.592  -3.458252  0.08667
1.582  -3.452148  0.056763
1.572  -3.447266  0.025635
1.563  -3.440552  -0.003052
1.553  -3.43689  -0.032959
1.543  -3.433838  -0.090332
1.533  -3.431396  -0.119019
1.523  -3.428345  -0.145874
1.514  -3.425293  -0.17334
1.504  -3.422241  -0.201416
1.494  -3.42041  -0.227661
1.484  -3.416138  -0.281372
1.475  -3.414917  -0.307617
1.465  -3.413696  -0.333252
1.455  -3.411865  -0.358887
1.445  -3.411255  -0.384521
1.436  -3.407593  -0.43457
1.426  -3.405762  -0.458374
1.416  -3.403931  -0.483398
1.406  -3.4021  -0.507202
1.396  -3.399658  -0.531616
1.387  -3.390503  -0.578613
1.377  -3.378296  -0.601196
1.367  1.146851  -0.586548
1.357  3.934937  -0.534668
1.348  3.927612  -0.491943
1.338  3.886108  -0.410767
1.328  3.865356  -0.371704
1.318  3.848877  -0.332642
