V(output)	I(Out)
4.952323e+000	3.609565e-001
4.952418e+000	3.604380e-001
4.952513e+000	3.599210e-001
4.952608e+000	3.594055e-001
4.952703e+000	3.588915e-001
4.952797e+000	3.583789e-001
4.952891e+000	3.578679e-001
4.952985e+000	3.573582e-001
4.953078e+000	3.568500e-001
4.953172e+000	3.563433e-001
4.953265e+000	3.558380e-001
4.953357e+000	3.553341e-001
4.953450e+000	3.548316e-001
4.953542e+000	3.543306e-001
4.953634e+000	3.538310e-001
4.953725e+000	3.533328e-001
4.953737e+000	3.532698e-001
4.953817e+000	3.528360e-001
4.953908e+000	3.523405e-001
4.953999e+000	3.518465e-001
4.954090e+000	3.513539e-001
4.954180e+000	3.508626e-001
4.954270e+000	3.503727e-001
4.954360e+000	3.498842e-001
4.954450e+000	3.493970e-001
4.954539e+000	3.489112e-001
4.954628e+000	3.484267e-001
4.954717e+000	3.479436e-001
4.954806e+000	3.474618e-001
4.954894e+000	3.469814e-001
4.954982e+000	3.465023e-001
4.955070e+000	3.460245e-001
4.955158e+000	3.455480e-001
4.955245e+000	3.450728e-001
4.955333e+000	3.445989e-001
4.955420e+000	3.441263e-001
4.955506e+000	3.436551e-001
4.955593e+000	3.431851e-001
4.955679e+000	3.427164e-001
4.955765e+000	3.422489e-001
4.955851e+000	3.417828e-001
4.955936e+000	3.413179e-001
4.956022e+000	3.408543e-001
4.956107e+000	3.403919e-001
4.956192e+000	3.399308e-001
4.956276e+000	3.394710e-001
4.956360e+000	3.390124e-001
4.956445e+000	3.385549e-001
4.956529e+000	3.380988e-001
4.956612e+000	3.376439e-001
4.956696e+000	3.371902e-001
4.956779e+000	3.367377e-001
4.956862e+000	3.362864e-001
4.956945e+000	3.358364e-001
4.957027e+000	3.353875e-001
4.957110e+000	3.349398e-001
4.957192e+000	3.344934e-001
4.957274e+000	3.340481e-001
4.957355e+000	3.336040e-001
4.957437e+000	3.331611e-001
4.957519e+000	3.327194e-001
4.957600e+000	3.322788e-001
4.957680e+000	3.318394e-001
4.957761e+000	3.314011e-001
4.957841e+000	3.309640e-001
4.957922e+000	3.305281e-001
4.958002e+000	3.300933e-001
4.958081e+000	3.296597e-001
4.958161e+000	3.292271e-001
4.958241e+000	3.287958e-001
4.958320e+000	3.283655e-001
