TIME  IN1  IN2  OUT1
3.35  -0.519409  4.127197  -0.5
3.34  -0.517578  4.13147  -0.5
3.33  -0.516357  4.135742  -0.5
3.32  -0.513306  4.143677  -0.5
3.311  -0.512085  4.14856  -0.5
3.301  -0.511475  4.152832  -0.5
3.291  -0.510254  4.156494  -0.5
3.281  -0.509033  4.160767  -0.5
3.271  -0.506592  4.169312  -0.5
3.262  -0.506592  4.174194  -0.5
3.252  -0.505371  4.178467  -0.5
3.242  -0.504761  4.182739  -0.5
3.232  -0.50415  4.186401  -0.5
3.223  -0.50293  4.190674  -0.5
3.213  -0.501709  4.199219  -0.5
3.203  -0.501709  4.202881  -0.5
3.193  -0.501099  4.207153  -0.5
3.184  -0.500488  4.211426  -0.5
3.174  -0.500488  4.215698  -0.5
3.164  -0.498657  4.224243  -0.5
3.154  -0.498047  4.227905  -0.5
3.145  -0.498047  4.232178  -0.5
3.135  -0.497437  4.23645  -0.5
3.125  -0.497437  4.238281  -0.5
3.115  -0.496216  4.241333  -0.5
3.105  -0.496216  4.241943  -0.5
3.096  -0.496216  4.242554  -0.5
3.086  -0.496216  4.243164  -0.5
3.076  -0.495605  4.243164  -0.5
3.066  -0.495605  4.244385  -0.5
3.057  -0.495605  4.244385  -0.5
3.047  -0.494995  4.244995  -0.5
3.037  -0.494995  4.246216  -0.5
3.027  -0.494995  4.246826  -0.5
3.018  -0.494995  4.247437  -0.5
3.008  -0.490723  4.249878  -0.5
2.998  0.481567  4.311523  0.5
2.988  0.560303  4.295654  0.5
2.979  0.559082  4.293213  0.5
2.969  0.554199  4.28833  0.5
2.959  0.545654  4.278564  0.5
2.949  0.541992  4.273682  0.5
2.939  0.53772  4.268799  0.5
2.93  0.534668  4.264526  0.5
2.92  0.532227  4.259644  0.5
2.91  0.526733  4.251099  0.5
2.9  0.524292  4.246826  0.5
2.891  0.52124  4.241943  0.5
2.881  0.52002  4.238281  0.5
2.871  0.516968  4.234619  0.5
2.861  0.513306  4.224854  0.5
2.852  0.511475  4.220581  0.5
2.842  0.510254  4.216309  0.5
2.832  0.509033  4.212646  0.5
2.822  0.507202  4.207764  0.5
2.813  0.50354  4.199219  0.5
2.803  0.50293  4.194946  0.5
2.793  0.501709  4.190674  0.5
2.783  0.501099  4.186401  0.5
2.773  0.499878  4.181519  0.5
2.764  0.498657  4.177856  0.5
2.754  0.498047  4.169922  0.5
2.744  0.496826  4.165649  0.5
2.734  0.496216  4.161987  0.5
2.725  0.494385  4.157104  0.5
2.715  0.493774  4.152832  0.5
2.705  0.493164  4.145508  0.5
2.695  0.492554  4.141235  0.5
2.686  0.491943  4.136963  0.5
2.676  0.491333  4.13269  0.5
2.666  0.491333  4.129028  0.5
2.656  0.490112  4.120483  0.5
2.646  0.489502  4.116211  0.5
2.637  0.489502  4.111938  0.5
2.627  0.489502  4.108276  0.5
2.617  0.488892  4.104004  0.5
2.607  0.488892  4.096069  0.5
2.598  0.488892  4.091797  0.5
2.588  0.487671  4.087524  0.5
2.578  0.487671  4.083252  0.5
2.568  0.487671  4.07959  0.5
2.559  0.487061  4.071655  0.5
2.549  0.48645  4.067993  0.5
2.539  0.48584  4.06311  0.5
2.529  0.48584  4.058838  0.5
2.52  0.485229  4.054565  0.5
2.51  0.48584  4.051514  0.5
2.5  -0.457153  4.04541  0.5
2.49  -0.568848  4.051514  -0.5
2.48  -0.566406  4.054565  -0.5
2.471  -0.562744  4.058838  -0.5
2.461  -0.558472  4.063721  -0.5
2.451  -0.549927  4.073486  -0.5
2.441  -0.546265  4.078979  -0.5
2.432  -0.543213  4.082642  -0.5
2.422  -0.540161  4.086304  -0.5
2.412  -0.53772  4.091187  -0.5
2.402  -0.532227  4.100342  -0.5
2.393  -0.529785  4.105225  -0.5
2.383  -0.527954  4.108887  -0.5
2.373  -0.525513  4.113159  -0.5
2.363  -0.523071  4.117432  -0.5
2.354  -0.519409  4.126587  -0.5
2.344  -0.516968  4.130859  -0.5
2.334  -0.516357  4.135132  -0.5
2.324  -0.515137  4.139404  -0.5
2.314  -0.513916  4.143066  -0.5
2.305  -0.511475  4.152832  -0.5
2.295  -0.510254  4.156494  -0.5
2.285  -0.509033  4.160156  -0.5
2.275  -0.507812  4.165039  -0.5
2.266  -0.506592  4.169312  -0.5
2.256  -0.505981  4.172974  -0.5
2.246  -0.50415  4.181519  -0.5
2.236  -0.50415  4.185791  -0.5
2.227  -0.50293  4.190063  -0.5
2.217  -0.502319  4.194336  -0.5
2.207  -0.501709  4.198608  -0.5
2.197  -0.501099  4.207153  -0.5
2.188  -0.500488  4.210815  -0.5
2.178  -0.499878  4.215088  -0.5
2.168  -0.499268  4.21936  -0.5
2.158  -0.498657  4.223022  -0.5
2.148  -0.498047  4.231567  -0.5
2.139  -0.497437  4.23584  -0.5
2.129  -0.497437  4.238281  -0.5
2.119  -0.497437  4.240112  -0.5
2.109  -0.496826  4.240723  -0.5
2.1  -0.496216  4.241943  -0.5
2.09  -0.495605  4.242554  -0.5
2.08  -0.495605  4.242554  -0.5
2.07  -0.495605  4.243774  -0.5
2.061  -0.495605  4.243774  -0.5
2.051  -0.494995  4.244995  -0.5
2.041  -0.494995  4.246826  -0.5
2.031  -0.494995  4.246216  -0.5
2.021  -0.494995  4.246216  -0.5
2.012  -0.494995  4.248047  -0.5
2.002  -0.494995  4.248657  -0.5
1.992  0.560303  4.295654  0.5
1.982  0.559692  4.293213  0.5
1.973  0.55481  4.28772  0.5
1.963  0.550537  4.283447  0.5
1.953  0.545654  4.278564  0.5
1.943  0.53894  4.269409  0.5
1.934  0.535278  4.264526  0.5
1.924  0.532227  4.260254  0.5
1.914  0.529785  4.255981  0.5
1.904  0.526123  4.251099  0.5
1.895  0.521851  4.241943  0.5
1.885  0.519409  4.237671  0.5
1.875  0.516968  4.233398  0.5
1.865  0.515747  4.229736  0.5
1.855  0.512695  4.224854  0.5
1.846  0.509644  4.216309  0.5
1.836  0.508423  4.212036  0.5
1.826  0.507202  4.207153  0.5
1.816  0.505981  4.204102  0.5
1.807  0.50354  4.199219  0.5
1.797  0.501709  4.191284  0.5
1.787  0.500488  4.186401  0.5
1.777  0.499268  4.182129  0.5
1.768  0.498657  4.179077  0.5
1.758  0.497437  4.173584  0.5
1.748  0.497437  4.169922  0.5
1.738  0.494995  4.161987  0.5
1.729  0.494385  4.157104  0.5
1.719  0.494385  4.152832  0.5
1.709  0.493164  4.14917  0.5
1.699  0.492554  4.144897  0.5
1.689  0.491333  4.136963  0.5
1.68  0.491333  4.133301  0.5
1.67  0.490723  4.129028  0.5
1.66  0.490723  4.124756  0.5
1.65  0.490112  4.121704  0.5
1.641  0.488892  4.112549  0.5
1.631  0.488892  4.108887  0.5
1.621  0.488281  4.104004  0.5
1.611  0.488892  4.100342  0.5
1.602  0.488281  4.096069  0.5
1.592  0.487671  4.086914  0.5
1.582  0.487671  4.083252  0.5
1.572  0.487671  4.07959  0.5
1.563  0.487671  4.075928  0.5
1.553  0.48645  4.071655  0.5
1.543  0.48584  4.0625  0.5
1.533  0.48584  4.059448  0.5
1.523  0.485229  4.055176  0.5
1.514  0.48584  4.051514  0.5
1.504  0.485229  4.047241  0.5
1.494  -0.384521  4.0448  -0.5
1.484  -0.566406  4.055176  -0.5
1.475  -0.563354  4.059448  -0.5
1.465  -0.558472  4.063721  -0.5
1.455  -0.55542  4.068604  -0.5
1.445  -0.551147  4.072876  -0.5
1.436  -0.544434  4.082031  -0.5
1.426  -0.541382  4.086304  -0.5
1.416  -0.53772  4.091797  -0.5
1.406  -0.535278  4.095459  -0.5
1.396  -0.532837  4.099121  -0.5
1.387  -0.527954  4.108887  -0.5
1.377  -0.525513  4.113159  -0.5
1.367  -0.523682  4.117432  -0.5
1.357  -0.522461  4.121704  -0.5
1.348  -0.52002  4.125977  -0.5
1.338  -0.516357  4.134521  -0.5
1.328  -0.515137  4.139404  -0.5
1.318  -0.513916  4.143066  -0.5
1.309  -0.512695  4.147949  -0.5
1.299  -0.511475  4.151001  -0.5
1.289  -0.510254  4.156494  -0.5
1.279  -0.508423  4.164429  -0.5
1.27  -0.507202  4.168701  -0.5
1.26  -0.505981  4.172363  -0.5
1.25  -0.505981  4.176636  -0.5
1.24  -0.504761  4.181519  -0.5
1.23  -0.50354  4.190063  -0.5
1.221  -0.502319  4.193726  -0.5
1.211  -0.501709  4.197998  -0.5
1.201  -0.501709  4.202271  -0.5
1.191  -0.501709  4.206543  -0.5
1.182  -0.500488  4.214478  -0.5
1.172  -0.499268  4.21936  -0.5
1.162  -0.498657  4.222412  -0.5
1.152  -0.498657  4.226685  -0.5
1.143  -0.498047  4.230957  -0.5
1.133  -0.498047  4.237671  -0.5
1.123  -0.497437  4.239502  -0.5
1.113  -0.497437  4.240723  -0.5
1.104  -0.496216  4.241333  -0.5
1.094  -0.496826  4.242554  -0.5
1.084  -0.496216  4.242554  -0.5
1.074  -0.496216  4.243774  -0.5
1.064  -0.496216  4.243774  -0.5
1.055  -0.495605  4.244385  -0.5
1.045  -0.494995  4.245605  -0.5
1.035  -0.495605  4.246826  -0.5
1.025  -0.494995  4.246216  -0.5
1.016  -0.494995  4.248657  -0.5
1.006  -0.494995  4.248047  -0.5
996.094  0.339355  4.30542  0.5
986.328  0.560303  4.295654  0.5
976.563  0.554199  4.28894  0.5
966.797  0.550537  4.283447  0.5
957.031  0.546265  4.279175  0.5
947.266  0.542603  4.274292  0.5
937.5  0.53833  4.269409  0.5
927.734  0.532227  4.260254  0.5
917.969  0.529785  4.255981  0.5
908.203  0.526123  4.251099  0.5
898.438  0.524292  4.247437  0.5
888.672  0.521851  4.243164  0.5
878.906  0.516968  4.234009  0.5
869.141  0.515137  4.229736  0.5
859.375  0.513306  4.224854  0.5
849.609  0.511475  4.220581  0.5
839.844  0.510254  4.216919  0.5
830.078  0.507202  4.208374  0.5
820.313  0.505371  4.204102  0.5
810.547  0.50415  4.199829  0.5
800.781  0.502319  4.194946  0.5
791.016  0.501709  4.191284  0.5
781.25  0.501099  4.186401  0.5
771.484  0.498657  4.178467  0.5
761.719  0.498047  4.174805  0.5
751.953  0.496826  4.169922  0.5
742.188  0.495605  4.16626  0.5
