time	V(tr)	V(vc)
2.454426336756706e-002	3.000000e+000	6.309160e-001
2.464289618006706e-002	3.000000e+000	6.309153e-001
2.484016180506706e-002	3.000000e+000	6.309151e-001
3.599000000000000e-002	3.000000e+000	6.309151e-001
3.599021367241054e-002	2.871797e+000	6.309151e-001
3.599045786945115e-002	2.725278e+000	6.309151e-001
3.599072513902353e-002	2.564917e+000	6.309151e-001
3.599100736726997e-002	2.395580e+000	6.309151e-001
3.599126524122666e-002	2.240855e+000	6.309151e-001
3.599158969917308e-002	2.046180e+000	6.309150e-001
3.599186690892160e-002	1.879855e+000	6.309149e-001
3.599214099458646e-002	1.715403e+000	6.309146e-001
3.599255061135446e-002	1.469633e+000	6.309124e-001
3.599294114065848e-002	1.235316e+000	6.308920e-001
3.599336274777481e-002	9.823514e-001	6.308185e-001
3.599364191836062e-002	8.148490e-001	6.307139e-001
3.599398595510742e-002	6.084269e-001	6.305116e-001
3.599440178714291e-002	3.589277e-001	6.302111e-001
3.599441079947853e-002	3.535203e-001	6.302038e-001
3.599457302151966e-002	2.561871e-001	6.300686e-001
3.599473524356079e-002	1.588539e-001	6.299338e-001
3.599489746560192e-002	6.152064e-002	6.297992e-001
3.599505968764305e-002	-3.581258e-002	6.296649e-001
3.599522190968418e-002	-1.331458e-001	6.295310e-001
3.599538413172531e-002	-2.304790e-001	6.293974e-001
3.599554635376644e-002	-3.278123e-001	6.292641e-001
3.599838028132563e-002	-2.028169e+000	6.269791e-001
3.600000000000000e-002	-3.000000e+000	6.257058e-001
3.600248270852944e-002	-3.000000e+000	6.238261e-001
3.600496541705887e-002	-3.000000e+000	6.219919e-001
3.600744812558832e-002	-3.000000e+000	6.202030e-001
3.600993083411775e-002	-3.000000e+000	6.184596e-001
3.601241354264719e-002	-3.000000e+000	6.167617e-001
3.601489625117663e-002	-3.000000e+000	6.151091e-001
3.601737895970607e-002	-3.000000e+000	6.135020e-001
3.603139427115364e-002	-3.000000e+000	6.049183e-001
3.605942489404878e-002	-3.000000e+000	5.893980e-001
3.611548613983907e-002	-3.000000e+000	5.612765e-001
3.621411895233907e-002	-3.000000e+000	5.150188e-001
3.631275176483906e-002	-3.000000e+000	4.702749e-001
3.641138457733906e-002	-3.000000e+000	4.261698e-001
3.651001738983906e-002	-3.000000e+000	3.823536e-001
3.660865020233906e-002	-3.000000e+000	3.387660e-001
