TIME  IN1  IN2
62.109  -2.791748  -0.306396
61.914  -2.791748  -0.38208
61.719  -2.786865  -0.456543
61.523  -2.785645  -0.528564
61.328  -2.788086  -0.601807
61.133  -2.789307  -0.675049
60.938  -2.789307  -0.74585
60.742  -2.788086  -0.81665
60.547  -2.788086  -0.88623
60.352  -2.788086  -0.932617
60.156  -2.785645  -1.000977
59.961  3.125  -0.992432
59.766  2.894287  -0.891113
59.57  2.841797  -0.794678
59.375  2.82959  -0.701904
59.18  2.825928  -0.611572
58.984  2.823486  -0.522461
58.789  2.827148  -0.432129
58.594  2.827148  -0.345459
58.398  2.825928  -0.258789
58.203  2.824707  -0.17334
58.008  2.822266  -0.090332
57.813  2.824707  -0.004883
57.617  2.824707  0.078125
57.422  2.823486  0.159912
57.227  2.823486  0.240479
57.031  2.822266  0.319824
56.836  2.823486  0.397949
56.641  2.824707  0.466309
56.445  2.824707  0.513916
56.25  2.824707  0.533447
56.055  2.824707  0.53833
55.859  2.824707  0.539551
55.664  2.824707  0.540771
55.469  2.822266  0.539551
55.273  2.821045  0.539551
55.078  2.823486  0.540771
54.883  2.825928  0.541992
54.688  2.825928  0.540771
54.492  2.824707  0.540771
54.297  2.824707  0.540771
54.102  2.824707  0.541992
53.906  2.825928  0.540771
53.711  2.825928  0.540771
53.516  2.824707  0.540771
53.32  2.824707  0.540771
53.125  2.824707  0.540771
52.93  2.823486  0.540771
52.734  2.823486  0.540771
52.539  2.824707  0.541992
52.344  2.827148  0.541992
52.148  2.828369  0.541992
51.953  2.82959  0.543213
51.758  2.825928  0.540771
51.563  2.825928  0.540771
51.367  2.827148  0.541992
51.172  2.827148  0.541992
50.977  2.827148  0.541992
50.781  2.827148  0.541992
50.586  2.825928  0.540771
50.391  2.825928  0.541992
50.195  2.825928  0.540771
50  2.821045  0.540771
49.805  2.823486  0.540771
49.609  2.823486  0.540771
49.414  2.824707  0.540771
49.219  2.825928  0.541992
49.023  2.827148  0.541992
48.828  2.824707  0.540771
48.633  2.824707  0.540771
48.438  2.827148  0.541992
48.242  2.827148  0.541992
48.047  2.828369  0.541992
47.852  2.82959  0.541992
47.656  2.828369  0.541992
47.461  2.827148  0.541992
47.266  2.82959  0.543213
47.07  2.830811  0.543213
46.875  2.82959  0.543213
46.68  2.82959  0.541992
46.484  2.828369  0.541992
46.289  2.828369  0.541992
46.094  2.827148  0.541992
45.898  2.828369  0.541992
45.703  2.828369  0.541992
45.508  2.830811  0.543213
45.313  2.833252  0.543213
45.117  2.830811  0.541992
44.922  2.82959  0.541992
44.727  2.828369  0.541992
44.531  2.82959  0.541992
44.336  2.830811  0.541992
44.141  2.82959  0.541992
43.945  -2.978516  0.452881
43.75  -2.828369  0.362549
43.555  -2.794189  0.27832
43.359  -2.785645  0.196533
43.164  -2.781982  0.115967
42.969  -2.783203  0.036621
42.773  -2.783203  -0.043945
42.578  -2.784424  -0.12207
42.383  -2.785645  -0.200195
42.188  -2.790527  -0.2771
41.992  -2.791748  -0.352783
41.797  -2.788086  -0.427246
41.602  -2.786865  -0.500488
41.406  -2.786865  -0.57373
41.211  -2.790527  -0.646973
41.016  -2.789307  -0.718994
40.82  -2.790527  -0.789795
40.625  -2.786865  -0.836182
40.43  -2.788086  -0.905762
40.234  -2.789307  -0.974121
40.039  0.001221  -1.031494
39.844  2.946777  -0.928955
39.648  2.854004  -0.831299
39.453  2.833252  -0.738525
39.258  2.825928  -0.646973
39.063  2.824707  -0.556641
38.867  2.825928  -0.467529
38.672  2.827148  -0.378418
38.477  2.827148  -0.291748
38.281  2.823486  -0.20752
38.086  2.824707  -0.12207
37.891  2.824707  -0.037842
37.695  2.825928  0.045166
37.5  2.824707  0.128174
37.305  2.823486  0.20874
37.109  2.823486  0.289307
36.914  2.824707  0.367432
36.719  2.825928  0.440674
36.523  2.825928  0.498047
36.328  2.825928  0.527344
36.133  2.825928  0.537109
35.938  2.825928  0.539551
35.742  2.825928  0.539551
35.547  2.824707  0.539551
35.352  2.821045  0.539551
35.156  2.824707  0.540771
34.961  2.824707  0.540771
34.766  2.827148  0.541992
34.57  2.825928  0.540771
34.375  2.824707  0.540771
34.18  2.825928  0.540771
