1.00000000000000e+001,-6.00377094152529e+000 ,-3.60961913157338e+000°,-5.40783577187574e+001 ,1.76372762293146e+002°,-3.00397299067296e+001 ,-9.36134831638244e+001°
1.02305972984251e+001,-6.00297412424787e+000 ,-3.69330924729227e+000°,-5.36813926188637e+001 ,1.76289488778829e+002°,-2.98409132888808e+001 ,-9.36970784223583e+001°
1.04665121082543e+001,-6.00214029476916e+000 ,-3.77896137452335e+000°,-5.32843962451487e+001 ,1.76204244288728e+002°,-2.96420596588089e+001 ,-9.37826376514698e+001°
1.07078670498640e+001,-6.00126774186358e+000 ,-3.86662303834080e+000°,-5.28873666305194e+001 ,1.76116981511185e+002°,-2.94431673052912e+001 ,-9.38702083279467e+001°
1.09547875712233e+001,-6.00035467596861e+000 ,-3.95634302202636e+000°,-5.24903017409611e+001 ,1.76027651871685e+002°,-2.92442344387681e+001 ,-9.39598391877759e+001°
1.12074020130978e+001,-5.99939922567566e+000 ,-4.04817140766526e+000°,-5.20931994715225e+001 ,1.75936205492380e+002°,-2.90452591878336e+001 ,-9.40515802667177e+001°
1.14658416757562e+001,-5.99839943407186e+000 ,-4.14215961850933e+000°,-5.16960576421778e+001 ,1.75842591149826e+002°,-2.88462395955779e+001 ,-9.41454829426426e+001°
1.17302408872161e+001,-5.99735325492666e+000 ,-4.23836046320813e+000°,-5.12988739935336e+001 ,1.75746756230871e+002°,-2.86471736157729e+001 ,-9.42415999797421e+001°
1.20007370730629e+001,-5.99625854871801e+000 ,-4.33682818201587e+000°,-5.09016461824220e+001 ,1.75648646686557e+002°,-2.84480591088996e+001 ,-9.43399855747054e+001°
1.22774708278787e+001,-5.99511307849220e+000 ,-4.43761849508892e+000°,-5.05043717773328e+001 ,1.75548206983917e+002°,-2.82488938380068e+001 ,-9.44406954050020e+001°
1.25605859883189e+001,-5.99391450555149e+000 ,-4.54078865299649e+000°,-5.01070482536948e+001 ,1.75445380055574e+002°,-2.80496754643996e+001 ,-9.45437866793671e+001°
1.28502297078731e+001,-5.99266038496369e+000 ,-4.64639748957546e+000°,-4.97096729889954e+001 ,1.75340107246983e+002°,-2.78504015431486e+001 ,-9.46493181906341e+001°
1.31465525333508e+001,-5.99134816088767e+000 ,-4.75450547726933e+000°,-4.93122432577405e+001 ,1.75232328261194e+002°,-2.76510695184152e+001 ,-9.47573503710514e+001°
1.34497084831302e+001,-5.98997516170882e+000 ,-4.86517478510041e+000°,-4.89147562262321e+001 ,1.75121981100966e+002°,-2.74516767185878e+001 ,-9.48679453502370e+001°
1.37598551272117e+001,-5.98853859497835e+000 ,-4.97846933943524e+000°,-4.85172089471737e+001 ,1.75009002008106e+002°,-2.72522203512201e+001 ,-9.49811670159212e+001°
1.40771536691173e+001,-5.98703554215050e+000 ,-5.09445488771370e+000°,-4.81195983540813e+001 ,1.74893325399821e+002°,-2.70526974977694e+001 ,-9.50970810776549e+001°
1.44017690296786e+001,-5.98546295311164e+000 ,-5.21319906532460e+000°,-4.77219212555063e+001 ,1.74774883801933e+002°,-2.68531051081247e+001 ,-9.52157551336659e+001°
1.47338699327572e+001,-5.98381764049544e+000 ,-5.33477146582269e+000°,-4.73241743290553e+001 ,1.74653607778755e+002°,-2.66534399949226e+001 ,-9.53372587410588e+001°
1.50736289929412e+001,-5.98209627377831e+000 ,-5.45924371469625e+000°,-4.69263541152063e+001 ,1.74529425859401e+002°,-2.64536988276425e+001 ,-9.54616634895632e+001°
1.54212228052647e+001,-5.98029537314934e+000 ,-5.58668954690859e+000°,-4.65284570109057e+001 ,1.74402264460333e+002°,-2.62538781264762e+001 ,-9.55890430790505e+001°
1.57768320369952e+001,-5.97841130314992e+000 ,-5.71718488845297e+000°,-4.61304792629541e+001 ,1.74272047803882e+002°,-2.60539742559683e+001 ,-9.57194734010798e+001°
1.61406415215389e+001,-5.97644026607737e+000 ,-5.85080794217697e+000°,-4.57324169611670e+001 ,1.74138697832505e+002°,-2.58539834184192e+001 ,-9.58530326246982e+001°
1.65128403545104e+001,-5.97437829514831e+000 ,-5.98763927815078e+000°,-4.53342660312967e+001 ,1.74002134118497e+002°,-2.56539016470485e+001 ,-9.59898012867929e+001°
1.68936219920179e+001,-5.97222124741748e+000 ,-6.12776192887365e+000°,-4.49360222277364e+001 ,1.73862273768857e+002°,-2.54537247989142e+001 ,-9.61298623872831e+001°
1.72831843512153e+001,-5.96996479644821e+000 ,-6.27126148963294e+000°,-4.45376811259688e+001 ,1.73719031325007e+002°,-2.52534485475829e+001 ,-9.62733014894555e+001°
1.76817299131726e+001,-5.96760442473183e+000 ,-6.41822622435409e+000°,-4.41392381147844e+001 ,1.73572318657012e+002°,-2.50530683755493e+001 ,-9.64202068258063e+001°
1.80894658281185e+001,-5.96513541585352e+000 ,-6.56874717730291e+000°,-4.37406883882565e+001 ,1.73422044851944e+002°,-2.48525795664020e+001 ,-9.65706694097199e+001°
1.85066040231102e+001,-5.96255284640361e+000 ,-6.72291829102875e+000°,-4.33420269374581e+001 ,1.73268116096023e+002°,-2.46519771967350e+001 ,-9.67247831533989e+001°
1.89333613121855e+001,-5.95985157763395e+000 ,-6.88083653096448e+000°,-4.29432485419472e+001 ,1.73110435550071e+002°,-2.44512561278037e+001 ,-9.68826449924490e+001°
1.93699595090551e+001,-5.95702624686079e+000 ,-7.04260201713017e+000°,-4.25443477609945e+001 ,1.72948903217882e+002°,-2.42504109969282e+001 ,-9.70443550175665e+001°
