time	V(vc)	V(vout)
7.185382042152959e-004	1.528478e+000	5.998319e+000
7.186728991039908e-004	1.529085e+000	4.951632e+000
7.187597983677090e-004	1.529376e+000	4.111894e+000
7.188633392693540e-004	1.529600e+000	3.003175e+000
7.189692253135072e-004	1.529701e+000	1.838708e+000
7.191969123225386e-004	1.529418e+000	-6.774279e-001
7.194296523444874e-004	1.528346e+000	-3.256412e+000
7.198049925220850e-004	1.525510e+000	-6.556581e+000
7.202277926560718e-004	1.521404e+000	-8.370671e+000
7.202907027495796e-004	1.520733e+000	-8.438130e+000
7.215971637049265e-004	1.506472e+000	-8.455062e+000
7.229036246602735e-004	1.492228e+000	-8.468193e+000
7.242100856156204e-004	1.478001e+000	-8.477520e+000
7.255165465709673e-004	1.463792e+000	-8.483046e+000
7.268230075263141e-004	1.449599e+000	-8.484770e+000
7.281294684816611e-004	1.435424e+000	-8.482692e+000
7.294359294370080e-004	1.421265e+000	-8.476811e+000
7.497401081400604e-004	1.204072e+000	-8.476833e+000
7.700442868431129e-004	9.913979e-001	-8.476850e+000
7.903484655461653e-004	7.832424e-001	-8.476862e+000
8.106526442492177e-004	5.796058e-001	-8.476869e+000
8.309568229522701e-004	3.804881e-001	-8.476871e+000
8.512610016553226e-004	1.858893e-001	-8.476868e+000
8.715651803583750e-004	-4.190609e-003	-8.476860e+000
8.799636178583749e-004	-8.168665e-002	-8.476860e+000
9.033592651798033e-004	-2.936946e-001	-8.482850e+000
9.267549125012318e-004	-5.005445e-001	-8.484181e+000
9.501505598226602e-004	-7.022362e-001	-8.480851e+000
9.735462071440886e-004	-8.987698e-001	-8.472860e+000
9.969418544655171e-004	-1.090145e+000	-8.460210e+000
1.020337501786945e-003	-1.276363e+000	-8.442900e+000
1.043733149108374e-003	-1.457422e+000	-8.420929e+000
1.044930178150773e-003	-1.466562e+000	-8.429922e+000
1.046127207193172e-003	-1.475675e+000	-8.431746e+000
1.047324236235571e-003	-1.484761e+000	-8.426401e+000
1.048521265277970e-003	-1.493819e+000	-8.413886e+000
1.049718294320369e-003	-1.502849e+000	-8.394201e+000
1.050915323362768e-003	-1.511852e+000	-8.367347e+000
1.052112352405167e-003	-1.520828e+000	-8.333323e+000
1.052345333568529e-003	-1.522560e+000	-8.288911e+000
1.052447353039481e-003	-1.523312e+000	-8.240958e+000
1.052572234908856e-003	-1.524222e+000	-8.142647e+000
1.052710833992630e-003	-1.525211e+000	-7.968629e+000
1.052863657869241e-003	-1.526257e+000	-7.649289e+000
1.053051823696660e-003	-1.527448e+000	-6.993962e+000
1.053224445085970e-003	-1.528403e+000	-6.041238e+000
1.053368591695593e-003	-1.529053e+000	-4.916145e+000
1.053455720393015e-003	-1.529344e+000	-4.066877e+000
1.053558817260115e-003	-1.529562e+000	-2.949901e+000
1.053664371057114e-003	-1.529656e+000	-1.777071e+000
1.054124904148851e-003	-1.528261e+000	3.354445e+000
1.054491965361503e-003	-1.525468e+000	6.576648e+000
1.054916918629751e-003	-1.521327e+000	8.372920e+000
1.054979477289003e-003	-1.520660e+000	8.438382e+000
1.056285841415526e-003	-1.506400e+000	8.455195e+000
1.057592205542049e-003	-1.492157e+000	8.468234e+000
1.058898569668572e-003	-1.477931e+000	8.477498e+000
1.060204933795095e-003	-1.463723e+000	8.482986e+000
1.061511297921618e-003	-1.449531e+000	8.484700e+000
1.062817662048141e-003	-1.435357e+000	8.482639e+000
1.064124026174664e-003	-1.421200e+000	8.476804e+000
1.084429492030508e-003	-1.203995e+000	8.476797e+000
1.104734957886351e-003	-9.913103e-001	8.476786e+000
1.125040423742195e-003	-7.831454e-001	8.476771e+000
1.145345889598039e-003	-5.795004e-001	8.476752e+000
1.165651355453882e-003	-3.803753e-001	8.476728e+000
1.185956821309726e-003	-1.857702e-001	8.476700e+000
1.206262287165570e-003	4.314993e-003	8.476667e+000
1.214660724665570e-003	8.180809e-002	8.476657e+000
1.238056371986998e-003	2.938067e-001	8.482633e+000
1.261452019308427e-003	5.006476e-001	8.483953e+000
1.284847666629855e-003	7.023308e-001	8.480616e+000
1.308243313951283e-003	8.988563e-001	8.472623e+000
1.331638961272712e-003	1.090224e+000	8.459973e+000
1.355034608594140e-003	1.276434e+000	8.442667e+000
1.378430255915569e-003	1.457486e+000	8.420705e+000
1.379626898364141e-003	1.466624e+000	8.429856e+000
1.380823540812713e-003	1.475734e+000	8.431755e+000
1.382020183261285e-003	1.484816e+000	8.426404e+000
1.383216825709857e-003	1.493870e+000	8.413801e+000
1.384413468158429e-003	1.502898e+000	8.393948e+000
1.385610110607001e-003	1.511897e+000	8.366844e+000
1.386806753055574e-003	1.520869e+000	8.332488e+000
1.387039025187203e-003	1.522595e+000	8.287023e+000
1.387142498533181e-003	1.523358e+000	8.237463e+000
1.387267118285578e-003	1.524265e+000	8.137590e+000
1.387411125647816e-003	1.525291e+000	7.953053e+000
1.387566827693610e-003	1.526353e+000	7.620570e+000
1.387754807935132e-003	1.527535e+000	6.949226e+000
1.387931326613682e-003	1.528505e+000	5.964667e+000
1.388060530804018e-003	1.529086e+000	4.955761e+000
1.388147427565037e-003	1.529376e+000	4.114129e+000
1.388251431085465e-003	1.529601e+000	3.000521e+000
1.388357518449469e-003	1.529701e+000	1.833864e+000
1.388585562096734e-003	1.529417e+000	-6.862254e-001
1.388818001403069e-003	1.528345e+000	-3.261883e+000
1.389191288753795e-003	1.525527e+000	-6.545893e+000
1.389614029062577e-003	1.521424e+000	-8.369473e+000
1.389676896064639e-003	1.520754e+000	-8.438025e+000
1.390982262541604e-003	1.506505e+000	-8.455002e+000
1.392287629018569e-003	1.492273e+000	-8.468168e+000
1.393592995495534e-003	1.478058e+000	-8.477521e+000
1.394898361972499e-003	1.463860e+000	-8.483062e+000
1.396203728449464e-003	1.449679e+000	-8.484791e+000
1.397509094926429e-003	1.435516e+000	-8.482707e+000
1.398814461403394e-003	1.421369e+000	-8.476811e+000
1.419117891514897e-003	1.204182e+000	-8.476833e+000
1.439421321626400e-003	9.915126e-001	-8.476850e+000
1.459724751737903e-003	7.833622e-001	-8.476862e+000
1.480028181849406e-003	5.797305e-001	-8.476869e+000
1.500331611960909e-003	3.806173e-001	-8.476871e+000
1.520635042072412e-003	1.860227e-001	-8.476868e+000
1.540938472183915e-003	-4.053275e-003	-8.476860e+000
1.549336909683915e-003	-8.155058e-002	-8.476860e+000
1.572732557005343e-003	-2.935619e-001	-8.482845e+000
1.596128204326772e-003	-5.004151e-001	-8.484173e+000
1.619523851648200e-003	-7.021101e-001	-8.480846e+000
1.642919498969628e-003	-8.986471e-001	-8.472862e+000
1.666315146291057e-003	-1.090026e+000	-8.460223e+000
1.689710793612485e-003	-1.276246e+000	-8.442928e+000
1.713106440933914e-003	-1.457309e+000	-8.420977e+000
1.714305566604383e-003	-1.466466e+000	-8.429954e+000
1.715504692274851e-003	-1.475595e+000	-8.431766e+000
1.716703817945320e-003	-1.484697e+000	-8.426412e+000
1.717902943615789e-003	-1.493770e+000	-8.413891e+000
1.719102069286258e-003	-1.502817e+000	-8.394205e+000
1.720301194956727e-003	-1.511836e+000	-8.367352e+000
1.721500320627196e-003	-1.520827e+000	-8.333333e+000
1.721733193309218e-003	-1.522558e+000	-8.288988e+000
1.721835170900627e-003	-1.523310e+000	-8.241107e+000
1.721960089316864e-003	-1.524220e+000	-8.142873e+000
1.722098518188123e-003	-1.525208e+000	-7.969271e+000
1.722251281879080e-003	-1.526253e+000	-7.650439e+000
1.722439503998634e-003	-1.527446e+000	-6.995779e+000
1.722612025253203e-003	-1.528400e+000	-6.044300e+000
1.722756800715349e-003	-1.529053e+000	-4.914666e+000
1.722844003080604e-003	-1.529344e+000	-4.064743e+000
1.722947182339614e-003	-1.529562e+000	-2.946763e+000
1.723052800416428e-003	-1.529656e+000	-1.773186e+000
1.723513880388303e-003	-1.528256e+000	3.364424e+000
1.723880020520565e-003	-1.525469e+000	6.577689e+000
1.724304912383242e-003	-1.521327e+000	8.372927e+000
1.724367426162988e-003	-1.520661e+000	8.438375e+000
1.725673479537442e-003	-1.506404e+000	8.455190e+000
1.726979532911895e-003	-1.492165e+000	8.468230e+000
1.728285586286348e-003	-1.477943e+000	8.477495e+000
1.729591639660802e-003	-1.463737e+000	8.482985e+000
1.730897693035256e-003	-1.449549e+000	8.484700e+000
1.732203746409709e-003	-1.435379e+000	8.482639e+000
1.733509799784163e-003	-1.421225e+000	8.476804e+000
1.753815172989301e-003	-1.204020e+000	8.476797e+000
1.774120546194440e-003	-9.913359e-001	8.476786e+000
1.794425919399579e-003	-7.831714e-001	8.476771e+000
1.814731292604717e-003	-5.795267e-001	8.476752e+000
1.835036665809856e-003	-3.804020e-001	8.476728e+000
1.855342039014994e-003	-1.857971e-001	8.476700e+000
1.875647412220133e-003	4.287791e-003	8.476667e+000
1.884045849720133e-003	8.178113e-002	8.476657e+000
1.907441497041562e-003	2.937804e-001	8.482632e+000
1.930837144362991e-003	5.006220e-001	8.483952e+000
1.954232791684420e-003	7.023058e-001	8.480615e+000
1.977628439005849e-003	8.988320e-001	8.472624e+000
2.001024086327278e-003	1.090200e+000	8.459976e+000
2.024419733648708e-003	1.276411e+000	8.442673e+000
2.047815380970137e-003	1.457464e+000	8.420714e+000
2.049012416170371e-003	1.466604e+000	8.429858e+000
2.050209451370604e-003	1.475717e+000	8.431753e+000
2.051406486570838e-003	1.484802e+000	8.426400e+000
2.052603521771071e-003	1.493860e+000	8.413799e+000
2.053800556971305e-003	1.502890e+000	8.393950e+000
2.054997592171539e-003	1.511893e+000	8.366852e+000
2.056194627371773e-003	1.520867e+000	8.332507e+000
2.056426944076556e-003	1.522594e+000	8.287071e+000
2.056530397576383e-003	1.523357e+000	8.237554e+000
2.056655043864754e-003	1.524264e+000	8.137725e+000
2.056798935969069e-003	1.525289e+000	7.953469e+000
2.056954586325170e-003	1.526351e+000	7.621350e+000
2.057142601475802e-003	1.527534e+000	6.950457e+000
2.057319047126165e-003	1.528503e+000	5.966850e+000
2.057448582320399e-003	1.529085e+000	4.955694e+000
2.057535478448548e-003	1.529376e+000	4.114207e+000
2.057639437862608e-003	1.529601e+000	3.001083e+000
2.057745503368466e-003	1.529701e+000	1.834669e+000
2.057973516616440e-003	1.529418e+000	-6.850820e-001
2.058205922052385e-003	1.528346e+000	-3.260362e+000
2.058579485105788e-003	1.525525e+000	-6.546723e+000
2.059002234957462e-003	1.521422e+000	-8.369576e+000
2.059065110194100e-003	1.520752e+000	-8.438034e+000
2.060370602359891e-003	1.506502e+000	-8.455008e+000
2.061676094525683e-003	1.492268e+000	-8.468171e+000
2.062981586691474e-003	1.478052e+000	-8.477522e+000
2.064287078857266e-003	1.463853e+000	-8.483062e+000
2.065592571023057e-003	1.449671e+000	-8.484790e+000
2.066898063188848e-003	1.435506e+000	-8.482706e+000
2.068203555354640e-003	1.421358e+000	-8.476811e+000
2.088507059334443e-003	1.204170e+000	-8.476833e+000
2.108810563314246e-003	9.915001e-001	-8.476850e+000
2.129114067294049e-003	7.833493e-001	-8.476862e+000
2.149417571273852e-003	5.797171e-001	-8.476869e+000
2.169721075253656e-003	3.806035e-001	-8.476871e+000
2.190024579233459e-003	1.860085e-001	-8.476868e+000
2.210328083213262e-003	-4.067863e-003	-8.476860e+000
2.218726520713262e-003	-8.156503e-002	-8.476860e+000
2.242122168034692e-003	-2.935760e-001	-8.482845e+000
2.265517815356122e-003	-5.004288e-001	-8.484174e+000
2.288913462677551e-003	-7.021235e-001	-8.480846e+000
2.312309109998981e-003	-8.986600e-001	-8.472862e+000
2.335704757320411e-003	-1.090038e+000	-8.460221e+000
2.359100404641840e-003	-1.276259e+000	-8.442924e+000
2.382496051963270e-003	-1.457321e+000	-8.420971e+000
2.383694952714329e-003	-1.466476e+000	-8.429950e+000
2.384893853465389e-003	-1.475603e+000	-8.431763e+000
2.386092754216449e-003	-1.484703e+000	-8.426409e+000
2.387291654967508e-003	-1.493776e+000	-8.413890e+000
2.388490555718568e-003	-1.502820e+000	-8.394204e+000
2.389689456469628e-003	-1.511837e+000	-8.367352e+000
2.390888357220687e-003	-1.520827e+000	-8.333334e+000
2.391121247844877e-003	-1.522558e+000	-8.288983e+000
2.391223228950473e-003	-1.523310e+000	-8.241096e+000
2.391348145742733e-003	-1.524220e+000	-8.142857e+000
2.391486585570752e-003	-1.525208e+000	-7.969227e+000
2.391639352948102e-003	-1.526254e+000	-7.650362e+000
2.391827571334706e-003	-1.527446e+000	-6.995656e+000
2.392000099160783e-003	-1.528400e+000	-6.044095e+000
2.392144832095316e-003	-1.529053e+000	-4.914768e+000
2.392232029449587e-003	-1.529344e+000	-4.064890e+000
2.392335202909155e-003	-1.529562e+000	-2.946981e+000
2.392440816503490e-003	-1.529656e+000	-1.773456e+000
2.392901858441882e-003	-1.528256e+000	3.363730e+000
2.393268062083325e-003	-1.525469e+000	6.577613e+000
2.393692958231813e-003	-1.521327e+000	8.372927e+000
2.393755475132812e-003	-1.520661e+000	8.438375e+000
2.395061549840166e-003	-1.506404e+000	8.455190e+000
2.396367624547520e-003	-1.492164e+000	8.468230e+000
2.397673699254874e-003	-1.477942e+000	8.477495e+000
2.398979773962228e-003	-1.463736e+000	8.482985e+000
