t,u_ref,u_fb,u_mult,u_e
0.0,1.0,1.0,1.0,0.21999999999999992
0.004004004004004004,1.0,1.0,1.0,0.22999999999999993
0.008008008008008008,1.0,1.0,1.0,0.23999999999999994
0.012012012012012012,1.0,1.0,1.0,0.24999999999999994
0.016016016016016016,1.0,1.0,1.0,0.23999999999999994
0.02002002002002002,1.0,1.0,1.0,0.22999999999999993
0.024024024024024024,1.0,1.0,1.0,0.21999999999999992
0.028028028028028028,1.0,1.0,1.0,0.2099999999999999
0.03203203203203203,1.0,1.0,1.0,0.1999999999999999
0.036036036036036036,1.0,1.0,1.0,0.1899999999999999
0.04004004004004004,1.0,1.0,1.0,0.17999999999999988
0.044044044044044044,1.0,1.0,1.0,0.16999999999999987
0.04804804804804805,1.0,-1.0,-1.0,0.15999999999999998
0.05205205205205205,-1.0,-1.0,1.0,0.14999999999999997
0.056056056056056056,-1.0,-1.0,1.0,0.15999999999999998
0.06006006006006006,-1.0,-1.0,1.0,0.14999999999999997
0.06406406406406406,-1.0,-1.0,1.0,0.13999999999999996
0.06806806806806806,-1.0,-1.0,1.0,0.12999999999999995
0.07207207207207207,-1.0,-1.0,1.0,0.11999999999999995
0.07607607607607608,-1.0,-1.0,1.0,0.10999999999999996
0.08008008008008008,-1.0,-1.0,1.0,0.09999999999999996
0.08408408408408408,-1.0,-1.0,1.0,0.08999999999999997
0.08808808808808809,-1.0,-1.0,1.0,0.07999999999999997
0.0920920920920921,-1.0,1.0,-1.0,0.06999999999999998
0.0960960960960961,-1.0,1.0,-1.0,0.05999999999999998
0.10010010010010009,1.0,1.0,1.0,0.049999999999999975
0.1041041041041041,1.0,1.0,1.0,0.03999999999999997
0.10810810810810811,1.0,1.0,1.0,0.02999999999999997
0.11211211211211211,1.0,1.0,1.0,0.019999999999999955
0.11611611611611611,1.0,1.0,1.0,0.009999999999999955
0.12012012012012012,1.0,1.0,1.0,-4.5102810375396984e-17
0.12412412412412413,1.0,1.0,1.0,-0.010000000000000045
0.12812812812812813,1.0,1.0,1.0,-0.020000000000000046
0.13213213213213212,1.0,1.0,1.0,-0.030000000000000047
0.13613613613613612,1.0,1.0,1.0,-0.04000000000000005
0.14014014014014015,1.0,-1.0,-1.0,-0.05000000000000005
0.14414414414414414,1.0,-1.0,-1.0,-0.06000000000000005
0.14814814814814814,1.0,-1.0,-1.0,-0.07000000000000005
0.15215215215215216,-1.0,-1.0,1.0,-0.060000000000000046
0.15615615615615616,-1.0,-1.0,1.0,-0.07000000000000005
0.16016016016016016,-1.0,-1.0,1.0,-0.08000000000000004
0.16416416416416416,-1.0,-1.0,1.0,-0.09000000000000004
0.16816816816816815,-1.0,-1.0,1.0,-0.10000000000000003
0.17217217217217218,-1.0,-1.0,1.0,-0.11000000000000003
0.17617617617617617,-1.0,-1.0,1.0,-0.12000000000000004
0.18018018018018017,-1.0,-1.0,1.0,-0.13000000000000003
0.1841841841841842,-1.0,1.0,-1.0,-0.14000000000000004
0.1881881881881882,-1.0,1.0,-1.0,-0.15000000000000005
0.1921921921921922,-1.0,1.0,-1.0,-0.16000000000000006
0.1961961961961962,-1.0,1.0,-1.0,-0.15000000000000005
0.20020020020020018,1.0,1.0,1.0,-0.14000000000000004
0.2042042042042042,1.0,1.0,1.0,-0.15000000000000005
0.2082082082082082,1.0,1.0,1.0,-0.16000000000000006
0.2122122122122122,1.0,1.0,1.0,-0.17000000000000007
0.21621621621621623,1.0,1.0,1.0,-0.18000000000000008
0.22022022022022023,1.0,1.0,1.0,-0.19000000000000009
0.22422422422422422,1.0,1.0,1.0,-0.2000000000000001
0.22822822822822822,1.0,-1.0,-1.0,-0.2100000000000001
0.23223223223223222,1.0,-1.0,-1.0,-0.2200000000000001
0.23623623623623624,1.0,-1.0,-1.0,-0.23000000000000012
0.24024024024024024,1.0,-1.0,-1.0,-0.22000000000000006
0.24424424424424424,1.0,-1.0,-1.0,-0.21000000000000005
0.24824824824824826,1.0,-1.0,-1.0,-0.20000000000000004
0.25225225225225223,-1.0,-1.0,1.0,-0.19000000000000003
0.25625625625625625,-1.0,-1.0,1.0,-0.20000000000000004
0.2602602602602603,-1.0,-1.0,1.0,-0.21000000000000005
0.26426426426426425,-1.0,-1.0,1.0,-0.22000000000000006
0.2682682682682683,-1.0,-1.0,1.0,-0.23000000000000007
0.27227227227227224,-1.0,-1.0,1.0,-0.24000000000000007
0.27627627627627627,-1.0,1.0,-1.0,-0.25000000000000006
0.2802802802802803,-1.0,1.0,-1.0,-0.26000000000000006
0.28428428428428426,-1.0,1.0,-1.0,-0.2700000000000001
0.2882882882882883,-1.0,1.0,-1.0,-0.26000000000000006
0.2922922922922923,-1.0,1.0,-1.0,-0.25000000000000006
0.2962962962962963,-1.0,1.0,-1.0,-0.24000000000000005
0.3003003003003003,1.0,1.0,1.0,-0.23000000000000004
0.30430430430430433,1.0,1.0,1.0,-0.24000000000000005
0.3083083083083083,1.0,1.0,1.0,-0.25000000000000006
0.3123123123123123,1.0,1.0,1.0,-0.26000000000000006
0.3163163163163163,1.0,1.0,1.0,-0.2700000000000001
0.3203203203203203,1.0,-1.0,-1.0,-0.2800000000000001
0.32432432432432434,1.0,-1.0,-1.0,-0.2900000000000001
