f,mag,phase
1.0,0.0009790395932999729,-0.2350271488850273
1.1513953993264472,0.0012979440530966225,-0.2706193608705466
1.3257113655901094,0.0017207345751753236,-0.3116054317721872
1.5264179671752334,0.002281259588415774,-0.358804790870897
1.7575106248547916,0.0030244010969999024,-0.41316241315593527
2.023589647725157,0.004009675078050152,-0.4757686110064566
2.329951810515371,0.005316009601128303,-0.5478822367144648
2.6826957952797255,0.0070480880835896206,-0.6309580318807589
3.088843596477481,0.00934477417930522,-0.7266790882724975
3.5564803062231274,0.012390308130287526,-0.8369957110908993
4.0949150623804265,0.016429198086859692,-0.9641724494302278
4.714866363457394,0.02178604655038977,-1.110845757213487
5.428675439323858,0.028891984004726395,-1.2800957922249832
6.2505519252739745,0.038319975865857066,-1.4755374433696649
7.196856730011519,0.05083209454544041,-1.7014381065238477
8.286427728546846,0.06744301086121607,-1.9628735137000448
9.540954763499942,0.08950562133680276,-2.2659389035719686
10.985411419875582,0.11882714949751591,-2.618042446296067
12.648552168552955,0.15782766340764576,-3.028323633208352
14.56348477501244,0.20975844766463075,-3.508265894958405
16.76832936811008,0.27900627589823773,-4.072618617778842
19.306977288832492,0.37152350362661246,-4.74082578009908
22.22996482526195,0.4954469414203138,-5.5393109474246165
25.59547922699535,0.6620078973657217,-6.505265129003549
29.470517025518088,0.8869051713197176,-7.693193086996746
33.93221771895329,1.1924374901825376,-9.186804021464965
39.06939937054616,1.6109157868772805,-11.121957446785684
44.98432668969448,2.1902486167980606,-13.73436763932489
51.79474679231212,3.0029706825037943,-17.468320207552843
59.636233165946415,4.1583389812244445,-23.25323125825404
68.66488450043003,5.79560046324614,-33.28869773357892
79.060432109077,7.84731602211901,-53.161823505446314
91.02981779915216,8.55700266941692,-90.56295118884341
104.81131341546849,5.315319610536403,-127.5596445504631
120.67926406393286,0.8164136993978498,-147.0607756772897
138.94954943731372,-3.2559198854123057,-156.93671412945454
159.9858719606057,-6.849633637043308,-162.64892962133644
184.2069969326716,-10.104074529158709,-166.34507723194406
212.095088792019,-13.127422374876101,-168.93554572864872
244.20530945486493,-15.991423649862444,-170.8568344140771
281.176869797423,-18.743485193882396,-172.3410835005652
323.7457542817642,-21.41559912739966,-173.52234886041305
372.75937203149374,-24.02985662957522,-174.4833576029197
429.1934260128777,-26.60181762825822,-175.27804574456013
494.1713361323832,-29.142618179115836,-175.94325763039578
568.9866029018292,-31.660328388277954,-176.505196071216
655.1285568595508,-34.160853108197685,-176.98315893695107
754.3120063354613,-36.648544831053464,-177.39179547208948
868.5113737513518,-39.12662984341439,-177.74251822705745
999.9999999999998,-41.5975098376694,-178.0444150076537
