TIME  IN1  IN2
3.174  -3.519287  -4.230347
3.164  -3.178101  -4.210205
3.154  -3.009033  -4.20105
3.145  -2.842407  -4.192505
3.135  -2.674561  -4.18335
3.125  -2.508545  -4.175415
3.115  -2.177124  -4.160767
3.105  -2.01355  -4.153442
3.096  -1.851196  -4.147339
3.086  -1.687012  -4.140625
3.076  -1.523438  -4.133911
3.066  -1.199951  -4.122925
3.057  -1.039429  -4.116821
3.047  -0.878296  -4.111938
3.037  -0.716553  -4.107056
3.027  -0.55542  -4.101562
3.018  -0.395508  -4.09668
3.008  -0.077515  -4.088135
2.998  0.081177  -4.083252
2.988  0.239258  -4.07959
2.979  0.397949  -4.075317
2.969  0.55542  -4.071655
2.959  0.872192  -4.063721
2.949  1.030273  -4.060669
2.939  1.187744  -4.057007
2.93  1.343994  -4.058228
2.92  1.501465  -4.052124
2.91  1.815796  -4.02771
2.9  1.972656  -3.997192
2.891  2.163086  3.482666
2.881  2.319946  4.876709
2.871  2.473145  4.866943
2.861  2.784424  4.818726
2.852  2.940063  4.79187
2.842  3.094482  4.767456
2.832  3.250732  4.743652
2.822  3.406982  4.72229
2.813  3.719482  4.686279
2.803  3.874512  4.6698
2.793  4.030151  4.656372
2.783  4.187012  4.645996
2.773  4.344482  4.636841
2.764  4.502563  4.634399
2.754  4.819946  4.810791
2.744  4.918823  4.921265
2.734  4.75708  4.782104
2.725  4.574585  4.612427
2.715  4.396362  4.550171
2.705  4.044189  4.509888
2.695  3.870239  4.494019
2.686  3.69751  4.47998
2.676  3.527832  4.468994
2.666  3.356323  4.456177
2.656  3.016968  4.436035
2.646  2.848511  4.425659
2.637  2.681274  4.415894
2.627  2.514648  4.407959
2.617  2.348633  4.399414
2.607  2.019043  4.384155
2.598  1.856689  4.377441
2.588  1.693115  4.369507
2.578  1.530151  4.362793
2.568  1.367188  4.35791
2.559  1.044312  4.344482
2.549  0.883789  4.3396
2.539  0.722656  4.333496
2.529  0.562134  4.328003
2.52  0.401611  4.32373
2.51  0.241089  4.318848
2.5  -0.076904  4.308472
2.49  -0.236206  4.30603
2.48  -0.394287  4.300537
2.471  -0.552979  4.296265
2.461  -0.709229  4.292603
2.451  -1.026611  4.283447
2.441  -1.184692  4.281006
2.432  -1.342163  4.277344
2.422  -1.497803  4.273071
2.412  -1.655273  4.27002
2.402  -1.970215  4.263306
2.393  -2.127686  4.259033
2.383  -2.30896  -1.133423
2.373  -2.475586  -4.627075
2.363  -2.628174  -4.631348
2.354  -2.939453  -4.584961
2.344  -3.095093  -4.556885
2.334  -3.250122  -4.530029
2.324  -3.405762  -4.504395
2.314  -3.562622  -4.481812
2.305  -3.874512  -4.439697
2.295  -4.02771  -4.420776
2.285  -4.18335  -4.403687
2.275  -4.338989  -4.387207
2.266  -4.494629  -4.370117
2.256  -4.649658  -4.346313
2.246  -4.904175  -3.952026
2.236  -4.759521  -4.193726
2.227  -4.580688  -4.290161
2.217  -4.403687  -4.28894
2.207  -4.226685  -4.278564
2.197  -3.876343  -4.25415
2.188  -3.704834  -4.242554
2.178  -3.532104  -4.230957
2.168  -3.361816  -4.221191
2.158  -3.191528  -4.211426
2.148  -2.855835  -4.193115
2.139  -2.687988  -4.18457
2.129  -2.521362  -4.176636
2.119  -2.355347  -4.169312
2.109  -2.190552  -4.161377
2.1  -1.862183  -4.147339
2.09  -1.699219  -4.141235
2.08  -1.535645  -4.134521
2.07  -1.372681  -4.128418
2.061  -1.211548  -4.123535
2.051  -0.889893  -4.113159
2.041  -0.72937  -4.107666
2.031  -0.568237  -4.102173
2.021  -0.407715  -4.0979
2.012  -0.250244  -4.093018
2.002  -0.089722  -4.088745
1.992  0.227051  -4.080811
1.982  0.385132  -4.076538
1.973  0.543213  -4.072266
1.963  0.701904  -4.067993
1.953  0.859985  -4.064331
1.943  1.176147  -4.057617
1.934  1.332397  -4.058228
1.924  1.489258  -4.052734
1.914  1.646729  -4.042969
1.904  1.804199  -4.028931
1.895  2.149048  2.921143
1.885  2.30835  4.876709
1.875  2.462158  4.868774
1.865  2.616577  4.846802
1.855  2.772827  4.819946
1.846  3.083496  4.769287
1.836  3.239746  4.745483
1.826  3.395996  4.724121
1.816  3.551636  4.705811
1.807  3.707886  4.686279
1.797  4.019165  4.657593
1.787  4.176025  4.645386
1.777  4.332886  4.636841
1.768  4.490967  4.634399
1.758  4.649048  4.666138
1.748  4.80835  4.798584
1.738  4.769287  4.793701
1.729  4.586792  4.620972
1.719  4.407959  4.551392
1.709  4.230957  4.529419
1.699  4.055786  4.511108
1.689  3.709717  4.482422
1.68  3.538818  4.469604
1.67  3.36792  4.458008
1.66  3.197021  4.446411
1.65  3.028564  4.436646
1.641  2.694092  4.417114
1.631  2.527466  4.40918
1.621  2.36145  4.400635
1.611  2.196045  4.39209
1.602  2.03064  4.385376
1.592  1.705322  4.370117
1.582  1.541748  4.364014
1.572  1.378784  4.3573
1.563  1.217041  4.351196
1.553  1.055908  4.345093
1.543  0.734863  4.334106
1.533  0.57312  4.329224
1.523  0.413208  4.324951
1.514  0.252686  4.318848
1.504  0.095215  4.313965
1.494  -0.064087  4.310303
1.484  -0.38147  4.300537
1.475  -0.540771  4.296875
1.465  -0.697632  4.293213
1.455  -0.855713  4.28894
1.445  -1.013794  4.284058
1.436  -1.329346  4.276733
1.426  -1.486206  4.273071
1.416  -1.643677  4.27124
1.406  -1.800537  4.266357
1.396  -1.958008  4.262695
1.387  -2.293701  -0.479736
1.377  -2.463379  -4.625854
1.367  -2.616577  -4.633179
1.357  -2.772217  -4.614258
1.348  -2.927856  -4.587402
1.338  -3.237915  -4.53186
1.328  -3.393555  -4.506226
1.318  -3.549805  -4.483032
1.309  -3.706055  -4.46167
1.299  -3.862915  -4.441528
1.289  -4.017334  -4.423218
1.279  -4.326782  -4.388428
1.27  -4.481812  -4.371338
1.26  -4.636841  -4.348755
1.25  -4.79126  -4.234009
1.24  -4.904175  -3.955688
1.23  -4.592285  -4.28894
1.221  -4.414673  -4.289551
1.211  -4.237061  -4.279785
1.201  -4.06189  -4.266968
1.191  -3.887939  -4.255371
1.182  -3.543701  -4.232788
1.172  -3.372803  -4.221802
1.162  -3.201904  -4.212036
1.152  -3.033447  -4.202881
1.143  -2.866821  -4.193726
1.133  -2.531738  -4.176636
1.123  -2.365723  -4.169312
1.113  -2.200928  -4.161987
1.104  -2.037964  -4.155884
1.094  -1.87439  -4.14856
1.084  -1.546631  -4.135132
1.074  -1.384277  -4.129639
1.064  -1.221924  -4.123535
1.055  -1.061401  -4.118042
1.045  -0.900269  -4.113159
1.035  -0.739136  -4.108276
1.025  -0.41748  -4.0979
1.016  -0.259399  -4.093018
1.006  -0.100098  -4.088745
996.094  0.057983  -4.084473
986.328  0.216675  -4.080811
976.563  0.532837  -4.072266
966.797  0.692139  -4.068604
957.031  0.849609  -4.065552
947.266  1.00708  -4.0625
937.5  1.165161  -4.058228
927.734  1.478271  -4.053345
917.969  1.635742  -4.044189
908.203  1.792603  -4.031372
898.438  1.950073  -4.005737
888.672  2.136841  2.418213
878.906  2.451172  4.869385
869.141  2.606201  4.847412
859.375  2.762451  4.821167
849.609  2.919312  4.796143
839.844  3.07312  4.769897
830.078  3.38501  4.725342
820.313  3.54187  4.705811
810.547  3.69751  4.6875
800.781  3.852539  4.672241
791.016  4.008789  4.658203
781.25  4.165039  4.645996
771.484  4.480591  4.634399
761.719  4.638672  4.660034
751.953  4.796753  4.786987
742.188  4.921265  4.918823
732.422  4.782104  4.805908
722.656  4.420166  4.553833
712.891  4.243164  4.529419
703.125  4.067993  4.511108
693.359  3.894043  4.49585
683.594  3.721924  4.482422
673.828  3.380127  4.458008
664.063  3.209839  4.447632
654.297  3.040771  4.436646
644.531  2.871704  4.42627
634.766  2.706299  4.418335
625  2.373047  4.400024
615.234  2.207642  4.3927
605.469  2.043457  4.385376
595.703  1.880493  4.377441
585.938  1.717529  4.370728
576.172  1.390991  4.35791
566.406  1.228638  4.351196
556.641  1.067505  4.346313
546.875  0.907593  4.34021
537.109  0.74646  4.334106
527.344  0.584717  4.329834
517.578  0.263672  4.318848
507.813  0.105591  4.314575
498.047  -0.053101  4.310303
488.281  -0.212402  4.30603
478.516  -0.370483  4.301147
468.75  -0.686035  4.292603
458.984  -0.844116  4.28833
449.219  -1.002197  4.285889
439.453  -1.160278  4.281006
429.688  -1.318359  4.277344
419.922  -1.63208  4.27124
410.156  -1.78894  4.266968
400.391  -1.946411  4.263306
390.625  -2.103882  4.260254
380.859  -2.279663  0.154419
371.094  -2.605591  -4.634399
361.328  -2.76123  -4.615479
351.563  -2.91626  -4.589233
341.797  -3.071899  -4.560547
332.031  -3.226318  -4.533691
322.266  -3.538818  -4.484863
312.5  -3.694458  -4.46228
302.734  -3.850098  -4.442749
292.969  -4.005127  -4.423828
283.203  -4.160767  -4.406128
273.438  -4.315796  -4.389648
263.672  -4.626465  -4.350586
253.906  -4.780884  -4.25293
244.141  -4.904175  -3.95874
234.375  -4.783325  -4.160767
224.609  -4.604492  -4.287109
214.844  -4.249268  -4.280396
205.078  -4.074097  -4.267578
195.313  -3.899536  -4.255371
185.547  -3.727417  -4.244385
175.781  -3.555298  -4.232788
