TIME  IN1  IN2
3.184  -3.640137  4.315186
3.174  -3.468628  4.310913
3.164  -3.126831  4.304199
3.154  -2.957764  4.300537
3.145  -2.790527  4.298096
3.135  -2.623291  4.295654
3.125  -2.456055  4.292603
3.115  -2.124634  4.28833
3.105  -1.96106  4.285278
3.096  -1.796265  4.283447
3.086  -1.63269  4.282227
3.076  -1.468506  4.280396
3.066  -1.143799  4.277344
3.057  -0.982666  4.274902
3.047  -0.820923  4.273682
3.037  -0.65918  4.272461
3.027  -0.497437  4.272461
3.018  -0.338135  4.27002
3.008  -0.018921  4.268799
2.998  0.140381  4.266968
2.988  0.299072  4.265747
2.979  0.450439  -1.553345
2.969  0.610962  -4.563599
2.959  0.932007  -4.542236
2.949  1.091309  -4.51355
2.939  1.25  -4.483643
2.93  1.40625  -4.455566
2.92  1.564331  -4.428711
2.91  1.879272  -4.379883
2.9  2.036743  -4.35791
2.891  2.192993  -4.337769
2.881  2.349854  -4.318237
2.871  2.506104  -4.300537
2.861  2.820435  -4.267578
2.852  2.976074  -4.25293
2.842  3.131714  -4.238892
2.832  3.288574  -4.226074
2.822  3.445435  -4.214478
2.813  3.759155  -4.192505
2.803  3.914795  -4.182129
2.793  4.071655  -4.172363
2.783  4.228516  -4.163818
2.773  4.387207  -4.155273
2.764  4.545288  -4.147339
2.754  4.863281  -4.133301
2.744  4.887695  -4.126587
2.734  4.702148  -4.116821
2.725  4.522095  -4.110718
2.715  4.343872  -4.105225
2.705  3.991699  -4.095459
2.695  3.817749  -4.091187
2.686  3.64624  -4.086914
2.676  3.474731  -4.082642
2.666  3.303833  -4.07959
2.656  2.963257  -4.073486
2.646  2.7948  -4.070435
2.637  2.627563  -4.066772
2.627  2.460938  -4.064331
2.617  2.293701  -4.0625
2.607  1.964111  -4.057007
2.598  1.800537  -4.055786
2.588  1.636353  -4.053955
2.578  1.473389  -4.050903
2.568  1.311035  -4.049683
2.559  0.986328  -4.047241
2.549  0.825195  -4.04541
2.539  0.664062  -4.044189
2.529  0.50293  -4.042358
2.52  0.342407  -4.041748
2.51  0.181885  -4.041748
2.5  -0.136719  -4.0271
2.49  -0.296631  -3.911133
2.48  -0.446167  3.7323
2.471  -0.609741  4.798584
2.461  -0.769043  4.786987
2.451  -1.088257  4.731445
2.441  -1.246338  4.702759
2.432  -1.40564  4.674072
2.422  -1.56189  4.647217
2.412  -1.719971  4.622803
2.402  -2.035522  4.577637
2.393  -2.192383  4.557495
2.383  -2.348633  4.539185
2.373  -2.504883  4.520874
2.363  -2.662354  4.503174
2.354  -2.976685  4.473877
2.344  -3.132324  4.459839
2.334  -3.287964  4.448242
2.324  -3.444824  4.435425
2.314  -3.601685  4.423828
2.305  -3.913574  4.403687
2.295  -4.068604  4.393921
2.285  -4.224854  4.384766
2.275  -4.381714  4.378052
2.266  -4.536743  4.369507
2.256  -4.692993  4.361572
2.246  -4.882812  4.348755
2.236  -4.708252  4.342651
2.227  -4.529419  4.337769
2.217  -4.352417  4.332886
2.207  -4.174194  4.327393
2.197  -3.825684  4.318848
2.188  -3.652954  4.314575
2.178  -3.480835  4.310303
2.168  -3.308716  4.307861
2.158  -3.139648  4.303589
2.148  -2.802734  4.298706
2.139  -2.634888  4.295044
2.129  -2.468262  4.291992
2.119  -2.301636  4.290161
2.109  -2.13623  4.28772
2.1  -1.807861  4.282837
2.09  -1.644287  4.282227
2.08  -1.480713  4.279785
2.07  -1.317749  4.277344
2.061  -1.156006  4.276733
2.051  -0.83252  4.273682
2.041  -0.671387  4.273071
2.031  -0.509644  4.27124
2.021  -0.349731  4.269409
2.012  -0.189819  4.268799
2.002  -0.031128  4.268188
1.992  0.286255  4.265747
1.982  0.438232  -0.901489
1.973  0.598145  -4.562378
1.963  0.760498  -4.56665
1.953  0.9198  -4.545288
1.943  1.237183  -4.486694
1.934  1.394043  -4.458618
