[s],CH2[V]
-2.4110E-02,-8.69961E-01
-2.4105E-02,-8.89961E-01
-2.4100E-02,-8.59961E-01
-2.4095E-02,-8.79961E-01
-2.4090E-02,-8.69961E-01
-2.4085E-02,-8.69961E-01
-2.4080E-02,-8.69961E-01
-2.4075E-02,-8.79961E-01
-2.4070E-02,-8.69961E-01
-2.4065E-02,-8.69961E-01
-2.4060E-02,-8.69961E-01
-2.4055E-02,-8.79961E-01
-2.4050E-02,-8.69961E-01
-2.4045E-02,-8.79961E-01
-2.4040E-02,-8.79961E-01
-2.4035E-02,-8.69961E-01
-2.4030E-02,-8.69961E-01
-2.4025E-02,-8.89961E-01
-2.4020E-02,-8.79961E-01
-2.4015E-02,-8.69961E-01
-2.4010E-02,-8.89961E-01
-2.4005E-02,-8.89961E-01
-2.4000E-02,-8.89961E-01
-2.3995E-02,-8.79961E-01
-2.3990E-02,-8.79961E-01
-2.3985E-02,-8.79961E-01
-2.3980E-02,-8.69961E-01
-2.3975E-02,-8.89961E-01
-2.3970E-02,-8.69961E-01
-2.3965E-02,-8.89961E-01
-2.3960E-02,-8.79961E-01
-2.3955E-02,-8.79961E-01
-2.3950E-02,-8.79961E-01
-2.3945E-02,-8.79961E-01
-2.3940E-02,-8.79961E-01
-2.3935E-02,-8.89961E-01
-2.3930E-02,-8.79961E-01
-2.3925E-02,-8.79961E-01
-2.3920E-02,-8.79961E-01
-2.3915E-02,-8.79961E-01
-2.3910E-02,-8.79961E-01
-2.3905E-02,-8.79961E-01
-2.3900E-02,-8.79961E-01
-2.3895E-02,-8.89961E-01
-2.3890E-02,-8.79961E-01
-2.3885E-02,-8.69961E-01
-2.3880E-02,-8.69961E-01
-2.3875E-02,-8.79961E-01
-2.3870E-02,-8.79961E-01
-2.3865E-02,-8.89961E-01
-2.3860E-02,-8.59961E-01
-2.3855E-02,-8.89961E-01
-2.3850E-02,-8.79961E-01
-2.3845E-02,-8.79961E-01
-2.3840E-02,-8.79961E-01
-2.3835E-02,-8.89961E-01
-2.3830E-02,-8.79961E-01
-2.3825E-02,-8.69961E-01
-2.3820E-02,-8.79961E-01
-2.3815E-02,-8.69961E-01
-2.3810E-02,-8.89961E-01
-2.3805E-02,-8.69961E-01
-2.3800E-02,-8.79961E-01
-2.3795E-02,-8.69961E-01
-2.3790E-02,-8.79961E-01
-2.3785E-02,-8.79961E-01
-2.3780E-02,-8.69961E-01
-2.3775E-02,-8.89961E-01
-2.3770E-02,-8.89961E-01
-2.3765E-02,-8.79961E-01
-2.3760E-02,-8.79961E-01
-2.3755E-02,-8.79961E-01
-2.3750E-02,-8.79961E-01
-2.3745E-02,-8.79961E-01
-2.3740E-02,-8.79961E-01
-2.3735E-02,-8.79961E-01
-2.3730E-02,-8.89961E-01
-2.3725E-02,-8.69961E-01
-2.3720E-02,-8.79961E-01
-2.3715E-02,-8.79961E-01
-2.3710E-02,-8.89961E-01
-2.3705E-02,-8.79961E-01
-2.3700E-02,-8.69961E-01
-2.3695E-02,-8.89961E-01
-2.3690E-02,-8.79961E-01
-2.3685E-02,-8.69961E-01
-2.3680E-02,-8.79961E-01
-2.3675E-02,-8.79961E-01
-2.3670E-02,-8.79961E-01
-2.3665E-02,-8.79961E-01
-2.3660E-02,-8.79961E-01
-2.3655E-02,-8.79961E-01
-2.3650E-02,-8.69961E-01
-2.3645E-02,-8.79961E-01
-2.3640E-02,-8.79961E-01
-2.3635E-02,-8.69961E-01
-2.3630E-02,-8.79961E-01
-2.3625E-02,-8.79961E-01
-2.3620E-02,-8.89961E-01
-2.3615E-02,-8.79961E-01
-2.3610E-02,-8.69961E-01
-2.3605E-02,-8.89961E-01
-2.3600E-02,-8.69961E-01
-2.3595E-02,-8.69961E-01
-2.3590E-02,-8.89961E-01
-2.3585E-02,-8.69961E-01
-2.3580E-02,-8.69961E-01
-2.3575E-02,-8.69961E-01
-2.3570E-02,-8.69961E-01
-2.3565E-02,-8.69961E-01
-2.3560E-02,-8.89961E-01
-2.3555E-02,-8.79961E-01
-2.3550E-02,-8.79961E-01
-2.3545E-02,-8.79961E-01
-2.3540E-02,-8.79961E-01
-2.3535E-02,-8.69961E-01
-2.3530E-02,-8.69961E-01
-2.3525E-02,-8.69961E-01
-2.3520E-02,-8.89961E-01
-2.3515E-02,-8.89961E-01
-2.3510E-02,-8.69961E-01
-2.3505E-02,-8.79961E-01
-2.3500E-02,-8.79961E-01
-2.3495E-02,-8.69961E-01
-2.3490E-02,-8.89961E-01
-2.3485E-02,-8.79961E-01
-2.3480E-02,-8.79961E-01
-2.3475E-02,-8.69961E-01
-2.3470E-02,-8.69961E-01
-2.3465E-02,-8.79961E-01
-2.3460E-02,-8.79961E-01
-2.3455E-02,-8.79961E-01
-2.3450E-02,-8.79961E-01
-2.3445E-02,-8.79961E-01
-2.3440E-02,-8.79961E-01
-2.3435E-02,-8.69961E-01
-2.3430E-02,-8.79961E-01
-2.3425E-02,-8.69961E-01
-2.3420E-02,-8.69961E-01
-2.3415E-02,-8.69961E-01
-2.3410E-02,-8.79961E-01
-2.3405E-02,-8.69961E-01
-2.3400E-02,-8.69961E-01
-2.3395E-02,-8.79961E-01
-2.3390E-02,-8.79961E-01
-2.3385E-02,-8.69961E-01
-2.3380E-02,-8.79961E-01
-2.3375E-02,-8.79961E-01
-2.3370E-02,-8.69961E-01
-2.3365E-02,-8.79961E-01
-2.3360E-02,-8.79961E-01
-2.3355E-02,-8.59961E-01
-2.3350E-02,-8.69961E-01
-2.3345E-02,-8.89961E-01
-2.3340E-02,-8.69961E-01
-2.3335E-02,-8.79961E-01
-2.3330E-02,-8.69961E-01
-2.3325E-02,-8.79961E-01
-2.3320E-02,-8.69961E-01
-2.3315E-02,-8.89961E-01
-2.3310E-02,-8.69961E-01
-2.3305E-02,-8.69961E-01
-2.3300E-02,-8.69961E-01
-2.3295E-02,-8.69961E-01
-2.3290E-02,-8.69961E-01
-2.3285E-02,-8.79961E-01
