TIME  IN1  IN2  OUT1
337.891  -1.47522  -0.899048  -0.5
336.914  -1.47522  -0.752563  -0.5
335.938  -1.47522  -0.605469  -0.5
334.961  -1.47522  -0.458984  -0.5
333.984  -1.47522  -0.31189  -0.5
333.008  -1.47522  -0.165405  -0.5
332.031  -1.474609  -0.028076  -0.5
331.055  -1.474609  0.119019  -0.5
330.078  -1.474609  0.266113  -0.5
329.102  -1.474609  0.412598  -0.5
328.125  -1.47522  0.559692  -0.5
327.148  -1.474609  0.706177  -0.5
326.172  -1.47522  0.853271  -0.5
325.195  -1.47522  1.000366  -0.5
324.219  -1.47522  1.14624  -0.5
323.242  -1.47522  1.293335  -0.5
322.266  -1.47522  1.44043  -0.5
321.289  -1.47522  1.577148  -0.5
320.313  -1.47522  1.723633  -0.5
319.336  -1.47522  1.870728  -0.5
318.359  -1.47522  2.017212  -0.5
317.383  -1.47522  2.164307  -0.5
316.406  -1.47522  2.310791  -0.5
315.43  -1.47522  2.457275  -0.5
314.453  -1.47522  2.60437  -0.5
313.477  -1.474609  2.751465  -0.5
312.5  -1.47522  2.89856  -0.5
311.523  -1.474609  3.035278  -0.5
310.547  -1.472778  3.182373  -0.5
309.57  -1.472778  3.328857  -0.5
308.594  -1.472778  3.475952  -0.5
307.617  -1.472778  3.621826  -0.5
306.641  -1.472778  3.768921  -0.5
305.664  -1.472778  3.915405  -0.5
304.688  -1.472778  4.0625  -0.5
303.711  -1.472778  4.209595  -0.5
302.734  -1.472778  4.324951  -0.5
301.758  -1.472778  4.328613  -0.5
300.781  -1.472778  4.331665  -0.5
299.805  -1.472778  4.335938  0.5
298.828  1.45874  4.559326  0.5
297.852  1.45813  4.456177  0.5
296.875  1.45813  4.312134  0.5
295.898  1.45813  4.16626  0.5
294.922  1.45813  4.020386  0.5
293.945  1.45813  3.875122  0.5
292.969  1.45813  3.729248  0.5
291.992  1.45813  3.59314  0.5
291.016  1.45813  3.448486  0.5
290.039  1.45874  3.303223  0.5
289.063  1.45874  3.157349  0.5
288.086  1.45874  3.012085  0.5
287.109  1.45874  2.866821  0.5
286.133  1.45874  2.721558  0.5
285.156  1.45874  2.575684  0.5
284.18  1.45874  2.43042  0.5
283.203  1.45813  2.285156  0.5
282.227  1.45813  2.149658  0.5
281.25  1.45874  2.003784  0.5
280.273  1.45813  1.859131  0.5
279.297  1.45813  1.713867  0.5
278.32  1.45813  1.568604  0.5
277.344  1.45813  1.42334  0.5
276.367  1.45813  1.278076  0.5
275.391  1.45813  1.132812  0.5
274.414  1.45813  0.987549  0.5
273.438  1.45874  0.842896  0.5
272.461  1.45874  0.707397  0.5
271.484  1.45874  0.562134  0.5
270.508  1.45874  0.41687  0.5
269.531  1.45874  0.271606  0.5
268.555  1.45874  0.126343  0.5
267.578  1.45813  -0.018921  0.5
266.602  1.45813  -0.164185  0.5
265.625  1.45813  -0.309448  0.5
264.648  1.45874  -0.454712  0.5
263.672  1.45813  -0.599976  0.5
262.695  1.45813  -0.735474  0.5
261.719  1.45813  -0.880737  0.5
260.742  1.45813  -1.026001  0.5
259.766  1.45813  -1.171265  0.5
258.789  1.45813  -1.316528  0.5
257.813  1.45874  -1.461182  0.5
256.836  1.45813  -1.607056  0.5
255.859  1.45813  -1.752319  0.5
254.883  1.45874  -1.896973  0.5
253.906  1.45813  -2.042236  0.5
252.93  1.45874  -2.177124  0.5
251.953  1.45874  -2.322388  0.5
250.977  1.45874  -2.467651  0.5
250  1.45813  -2.612915  0.5
249.023  -1.473389  -2.544556  -0.5
248.047  -1.472168  -2.398071  -0.5
247.07  -1.472778  -2.251587  -0.5
246.094  -1.473389  -2.104492  -0.5
245.117  -1.472778  -1.958008  -0.5
244.141  -1.472778  -1.811523  -0.5
243.164  -1.472778  -1.664429  -0.5
242.188  -1.472778  -1.52771  -0.5
241.211  -1.473389  -1.381226  -0.5
240.234  -1.472778  -1.234131  -0.5
239.258  -1.472778  -1.087646  -0.5
238.281  -1.473389  -0.941162  -0.5
237.305  -1.473389  -0.794067  -0.5
236.328  -1.472778  -0.647583  -0.5
235.352  -1.472778  -0.501099  -0.5
234.375  -1.473389  -0.354004  -0.5
233.398  -1.473389  -0.20752  -0.5
232.422  -1.472778  -0.07019  -0.5
231.445  -1.473389  0.076294  -0.5
230.469  -1.472778  0.222778  -0.5
229.492  -1.472778  0.369263  -0.5
228.516  -1.472778  0.516357  -0.5
227.539  -1.472778  0.662842  -0.5
226.563  -1.472778  0.809326  -0.5
225.586  -1.472778  0.955811  -0.5
224.609  -1.472778  1.102295  -0.5
223.633  -1.472778  1.248169  -0.5
222.656  -1.472778  1.385498  -0.5
221.68  -1.473389  1.532593  -0.5
220.703  -1.472778  1.678467  -0.5
219.727  -1.472778  1.824951  -0.5
218.75  -1.473389  1.972046  -0.5
217.773  -1.472778  2.11853  -0.5
216.797  -1.473389  2.265015  -0.5
215.82  -1.473389  2.411499  -0.5
214.844  -1.473389  2.558594  -0.5
213.867  -1.473389  2.705078  -0.5
212.891  -1.472778  2.841797  -0.5
211.914  -1.472778  2.988281  -0.5
210.938  -1.472778  3.134766  -0.5
209.961  -1.472778  3.28186  -0.5
208.984  -1.472168  3.428345  -0.5
208.008  -1.472778  3.575439  -0.5
207.031  -1.472778  3.721924  -0.5
206.055  -1.472778  3.868408  -0.5
205.078  -1.472778  4.014893  -0.5
204.102  -1.473389  4.162598  -0.5
203.125  -1.473389  4.299316  -0.5
202.148  -1.472778  4.327393  -0.5
201.172  -1.473389  4.331055  -0.5
200.195  -1.47522  4.334106  -0.5
199.219  1.462402  4.58313  0.5
198.242  1.45813  4.483643  0.5
197.266  1.45813  4.347534  0.5
196.289  1.45813  4.20166  0.5
195.313  1.45813  4.055786  0.5
194.336  1.45813  3.909912  0.5
193.359  1.45874  3.773804  0.5
192.383  1.45813  3.62793  0.5
191.406  1.45813  3.482666  0.5
190.43  1.45874  3.337402  0.5
189.453  1.45874  3.192139  0.5
188.477  1.45874  3.046875  0.5
187.5  1.45874  2.901611  0.5
186.523  1.45874  2.755737  0.5
185.547  1.45874  2.610474  0.5
184.57  1.45874  2.46521  0.5
183.594  1.45813  2.329712  0.5
182.617  1.45874  2.183838  0.5
181.641  1.45813  2.039185  0.5
180.664  1.45874  1.893311  0.5
179.688  1.45813  1.748657  0.5
178.711  1.45813  1.603394  0.5
177.734  1.45813  1.45813  0.5
176.758  1.45874  1.312866  0.5
175.781  1.45874  1.167603  0.5
174.805  1.45874  1.022339  0.5
173.828  1.45874  0.887451  0.5
172.852  1.45874  0.741577  0.5
171.875  1.45874  0.596924  0.5
170.898  1.45874  0.45166  0.5
169.922  1.45874  0.306396  0.5
168.945  1.459351  0.161743  0.5
167.969  1.459351  0.016479  0.5
166.992  1.45874  -0.129395  0.5
166.016  1.45874  -0.274658  0.5
165.039  1.45874  -0.419922  0.5
164.063  1.45813  -0.55542  0.5
163.086  1.45813  -0.700684  0.5
162.109  1.45813  -0.845337  0.5
