Freq	Ampl	phase
1.00000000000000e+000	-4.40364518708011e+001   -9.00000211592252e+001
1.25892541179417e+000	-4.20364518601503e+001   -9.00000266378863e+001
1.58489319246111e+000	-4.00364518432698e+001   -9.00000335351120e+001
1.99526231496888e+000	-3.80364518165161e+001   -9.00000422182048e+001
2.51188643150958e+000	-3.60364517741143e+001   -9.00000531495709e+001
3.16227766016838e+000	-3.40364517069120e+001   -9.00000669113457e+001
3.98107170553497e+000	-3.20364516004035e+001   -9.00000842363939e+001
5.01187233627272e+000	-3.00364514315990e+001   -9.00001060473379e+001
6.30957344480194e+000	-2.80364511640618e+001   -9.00001335056904e+001
7.94328234724282e+000	-2.60364507400439e+001   -9.00001680737101e+001
1.00000000000000e+001	-2.40364500680208e+001   -9.00002115922722e+001
1.25892541179417e+001	-2.20364490029358e+001   -9.00002663789035e+001
1.58489319246111e+001	-2.00364473148896e+001   -9.00003353512009e+001
1.99526231496888e+001	-1.80364446395160e+001   -9.00004221822086e+001
2.51188643150958e+001	-1.60364403993330e+001   -9.00005314960305e+001
3.16227766016838e+001	-1.40364336790915e+001   -9.00006691140979e+001
3.98107170553498e+001	-1.20364230282159e+001   -9.00008423652177e+001
5.01187233627273e+001	-1.00364061476889e+001   -9.00010604759291e+001
6.30957344480194e+001	-8.03637939378932e+000   -9.00013350619926e+001
7.94328234724283e+001	-6.03633699154723e+000   -9.00016807472533e+001
1.00000000000000e+002	-4.03626978809839e+000   -9.00021159429794e+001
1.25892541179417e+002	-2.03616327674475e+000   -9.00026638294538e+001
1.58489319246112e+002	-3.59944649500044e-002   -9.00033535926561e+001
1.99526231496888e+002	1.96427309043494e+000   -9.00042219830041e+001
2.51188643150958e+002	3.96469715402578e+000   -9.00053152813944e+001
3.16227766016838e+002	5.96536929193577e+000   -9.00066917816860e+001
3.98107170553498e+002	7.96643466528471e+000   -9.00084249307140e+001
5.01187233627273e+002	9.96812343596731e+000   -9.00106073108103e+001
6.30957344480194e+002	1.19708006298744e+001   -9.00133557124602e+001
7.94328234724283e+002	1.39750453872581e+001   -9.00168176384924e+001
1.00000000000000e+003	1.59817771263556e+001   -9.00211797294322e+001
1.25892541179417e+003	1.79924569121733e+001   -9.00266788479712e+001
1.58489319246112e+003	2.00094101760147e+001   -9.00336170009586e+001
1.99526231496888e+003	2.20363472527555e+001   -9.00423821021827e+001
2.51188643150959e+003	2.40792115011168e+001   -9.00534782070842e+001
3.16227766016839e+003	2.61475830468978e+001   -9.00675722429303e+001
3.98107170553498e+003	2.82570592667941e+001   -9.00855717828191e+001
5.01187233627273e+003	3.04334442705701e+001   -9.01087664495739e+001
6.30957344480195e+003	3.27205463871343e+001   -9.01391133574887e+001
7.94328234724283e+003	3.51959521118333e+001   -9.01798919450237e+001
1.00000000000000e+004	3.80071472258851e+001   -9.02374811104049e+001
1.25892541179417e+004	4.14715396540475e+001   -9.03275199018692e+001
1.58489319246112e+004	4.64591953096575e+001   -9.05074256217292e+001
1.99526231496889e+004	5.75928854633065e+001   -9.14048849274935e+001
2.51188643150959e+004	5.37838459664279e+001   9.04730555444136e+001
3.16227766016839e+004	4.51631444809656e+001   8.99209841612393e+001
3.98107170553498e+004	4.06434157446114e+001   8.97134619756283e+001
5.01187233627274e+004	3.73626155774969e+001   8.95433411356204e+001
6.30957344480195e+004	3.46419423534877e+001   8.93645889230367e+001
7.94328234724284e+004	3.22161303157779e+001   8.91579524797211e+001
1.00000000000000e+005	2.99577310581176e+001   8.89090280727193e+001
1.25892541179417e+005	2.77984231734564e+001   8.86031979605333e+001
1.58489319246112e+005	2.56991741352047e+001   8.82236070517463e+001
1.99526231496889e+005	2.36367919732260e+001   8.77498386036645e+001
2.51188643150959e+005	2.15971268649546e+001   8.71566865288703e+001
3.16227766016839e+005	1.95713505031615e+001   8.64128129057088e+001
3.98107170553499e+005	1.75537973793629e+001   8.54791984045035e+001
5.01187233627274e+005	1.55406467390069e+001   8.43073549585045e+001
6.30957344480196e+005	1.35290680543260e+001   8.28373428944115e+001
7.94328234724285e+005	1.15166166571329e+001   8.09957677906814e+001
1.00000000000000e+006	9.50075351957409e+000   7.86941905513251e+001
1.25892541179417e+006	7.47842399519694e+000   7.58288649308150e+001
1.58489319246112e+006	5.44570251039684e+000   7.22835421960620e+001
1.99526231496889e+006	3.39763961515656e+000   6.79383150658831e+001
2.51188643150959e+006	1.32868966919968e+000   6.26888293270342e+001
3.16227766016839e+006	-7.65537528282269e-001   5.64804157337127e+001
3.98107170553499e+006	-2.88418447103848e+000   4.93578605342695e+001
5.01187233627275e+006	-5.01422409582297e+000   4.15200017297145e+001
6.30957344480196e+006	-7.12252073115652e+000   3.33504306531224e+001
7.94328234724285e+006	-9.15222989499680e+000   2.53856960161127e+001
1.00000000000000e+007	-1.10297159488976e+001   1.82025895399902e+001
1.25892541179417e+007	-1.26823916029130e+001   1.22577630493438e+001
1.58489319246112e+007	-1.40593767018788e+001   7.75896187732941e+000
1.99526231496889e+007	-1.51444116261695e+001   4.63980137249223e+000
2.51188643150959e+007	-1.59557732757361e+001   2.64317200575440e+000
3.16227766016839e+007	-1.65354695113385e+001   1.44879795485047e+000
3.98107170553499e+007	-1.69346759670819e+001   7.71598613168520e-001
5.01187233627275e+007	-1.72020363047213e+001   4.02633630956997e-001
6.30957344480196e+007	-1.73775549791521e+001   2.07198682960554e-001
7.94328234724286e+007	-1.74912079359394e+001   1.05651563604133e-001
1.00000000000001e+008	-1.75641282543609e+001   5.35565380068859e-002
