[s],CH2[V]
-2.4060E-03,-4.000E-03
-2.4055E-03,-4.000E-03
-2.4050E-03,4.000E-03
-2.4045E-03,4.000E-03
-2.4040E-03,-4.000E-03
-2.4035E-03,-1.200E-02
-2.4030E-03,-4.000E-03
-2.4025E-03,-4.000E-03
-2.4020E-03,-4.000E-03
-2.4015E-03,4.000E-03
-2.4010E-03,-1.200E-02
-2.4005E-03,-4.000E-03
-2.4000E-03,-4.000E-03
-2.3995E-03,4.000E-03
-2.3990E-03,4.000E-03
-2.3985E-03,4.000E-03
-2.3980E-03,-4.000E-03
-2.3975E-03,-4.000E-03
-2.3970E-03,-4.000E-03
-2.3965E-03,-4.000E-03
-2.3960E-03,-4.000E-03
-2.3955E-03,4.000E-03
-2.3950E-03,2.000E-02
-2.3945E-03,4.000E-03
-2.3940E-03,-4.000E-03
-2.3935E-03,4.000E-03
-2.3930E-03,-4.000E-03
-2.3925E-03,4.000E-03
-2.3920E-03,-4.000E-03
-2.3915E-03,4.000E-03
-2.3910E-03,4.000E-03
-2.3905E-03,-4.000E-03
-2.3900E-03,1.200E-02
-2.3895E-03,1.200E-02
-2.3890E-03,1.200E-02
-2.3885E-03,1.200E-02
-2.3880E-03,4.000E-03
-2.3875E-03,-4.000E-03
-2.3870E-03,4.000E-03
-2.3865E-03,1.200E-02
-2.3860E-03,1.200E-02
-2.3855E-03,1.200E-02
-2.3850E-03,1.200E-02
-2.3845E-03,1.200E-02
-2.3840E-03,1.200E-02
-2.3835E-03,4.000E-03
-2.3830E-03,4.000E-03
-2.3825E-03,1.200E-02
-2.3820E-03,1.200E-02
-2.3815E-03,1.200E-02
-2.3810E-03,1.200E-02
-2.3805E-03,1.200E-02
-2.3800E-03,2.000E-02
-2.3795E-03,1.200E-02
-2.3790E-03,2.000E-02
-2.3785E-03,1.200E-02
-2.3780E-03,1.200E-02
-2.3775E-03,1.200E-02
-2.3770E-03,1.200E-02
-2.3765E-03,1.200E-02
-2.3760E-03,1.200E-02
-2.3755E-03,2.800E-02
-2.3750E-03,2.000E-02
-2.3745E-03,2.000E-02
-2.3740E-03,2.000E-02
-2.3735E-03,1.200E-02
-2.3730E-03,1.200E-02
-2.3725E-03,1.200E-02
-2.3720E-03,2.000E-02
-2.3715E-03,2.000E-02
-2.3710E-03,1.200E-02
-2.3705E-03,1.200E-02
-2.3700E-03,2.800E-02
-2.3695E-03,2.000E-02
-2.3690E-03,2.800E-02
-2.3685E-03,1.200E-02
-2.3680E-03,2.000E-02
-2.3675E-03,2.000E-02
-2.3670E-03,1.200E-02
-2.3665E-03,2.000E-02
-2.3660E-03,1.200E-02
-2.3655E-03,2.800E-02
-2.3650E-03,2.800E-02
-2.3645E-03,3.600E-02
-2.3640E-03,2.000E-02
-2.3635E-03,2.000E-02
-2.3630E-03,2.000E-02
-2.3625E-03,2.800E-02
-2.3620E-03,2.800E-02
-2.3615E-03,2.000E-02
-2.3610E-03,2.800E-02
-2.3605E-03,2.800E-02
-2.3600E-03,4.400E-02
-2.3595E-03,2.800E-02
-2.3590E-03,2.800E-02
-2.3585E-03,2.800E-02
-2.3580E-03,3.600E-02
-2.3575E-03,2.800E-02
-2.3570E-03,2.800E-02
-2.3565E-03,2.800E-02
-2.3560E-03,2.800E-02
-2.3555E-03,3.600E-02
-2.3550E-03,3.600E-02
-2.3545E-03,3.600E-02
-2.3540E-03,2.800E-02
-2.3535E-03,2.800E-02
-2.3530E-03,2.800E-02
-2.3525E-03,2.800E-02
-2.3520E-03,2.800E-02
-2.3515E-03,2.800E-02
-2.3510E-03,3.600E-02
-2.3505E-03,3.600E-02
-2.3500E-03,3.600E-02
-2.3495E-03,4.400E-02
-2.3490E-03,4.400E-02
-2.3485E-03,3.600E-02
-2.3480E-03,3.600E-02
-2.3475E-03,2.800E-02
-2.3470E-03,3.600E-02
-2.3465E-03,3.600E-02
-2.3460E-03,3.600E-02
-2.3455E-03,4.400E-02
-2.3450E-03,3.600E-02
-2.3445E-03,4.400E-02
-2.3440E-03,4.400E-02
-2.3435E-03,3.600E-02
-2.3430E-03,4.400E-02
-2.3425E-03,4.400E-02
-2.3420E-03,3.600E-02
-2.3415E-03,3.600E-02
-2.3410E-03,3.600E-02
-2.3405E-03,4.400E-02
-2.3400E-03,5.200E-02
-2.3395E-03,4.400E-02
-2.3390E-03,5.200E-02
-2.3385E-03,4.400E-02
-2.3380E-03,4.400E-02
-2.3375E-03,3.600E-02
-2.3370E-03,4.400E-02
-2.3365E-03,5.200E-02
-2.3360E-03,4.400E-02
-2.3355E-03,6.000E-02
-2.3350E-03,4.400E-02
-2.3345E-03,5.200E-02
-2.3340E-03,4.400E-02
-2.3335E-03,5.200E-02
-2.3330E-03,5.200E-02
-2.3325E-03,4.400E-02
-2.3320E-03,4.400E-02
-2.3315E-03,4.400E-02
-2.3310E-03,5.200E-02
-2.3305E-03,6.000E-02
-2.3300E-03,6.000E-02
-2.3295E-03,5.200E-02
-2.3290E-03,5.200E-02
-2.3285E-03,5.200E-02
-2.3280E-03,4.400E-02
-2.3275E-03,4.400E-02
-2.3270E-03,6.000E-02
-2.3265E-03,6.000E-02
-2.3260E-03,5.200E-02
-2.3255E-03,6.000E-02
-2.3250E-03,5.200E-02
-2.3245E-03,6.000E-02
-2.3240E-03,5.200E-02
-2.3235E-03,6.000E-02
-2.3230E-03,5.200E-02
-2.3225E-03,5.200E-02
-2.3220E-03,6.000E-02
-2.3215E-03,6.000E-02
-2.3210E-03,5.200E-02
-2.3205E-03,6.000E-02
-2.3200E-03,6.800E-02
-2.3195E-03,6.000E-02
-2.3190E-03,6.000E-02
-2.3185E-03,6.000E-02
-2.3180E-03,5.200E-02
-2.3175E-03,5.200E-02
-2.3170E-03,6.000E-02
-2.3165E-03,6.800E-02
-2.3160E-03,6.800E-02
-2.3155E-03,6.800E-02
-2.3150E-03,5.200E-02
-2.3145E-03,6.800E-02
-2.3140E-03,6.800E-02
-2.3135E-03,6.800E-02
-2.3130E-03,6.800E-02
-2.3125E-03,6.800E-02
-2.3120E-03,6.000E-02
-2.3115E-03,6.000E-02
-2.3110E-03,6.800E-02
-2.3105E-03,6.800E-02
-2.3100E-03,7.600E-02
-2.3095E-03,6.800E-02
-2.3090E-03,6.800E-02
-2.3085E-03,6.000E-02
-2.3080E-03,6.800E-02
-2.3075E-03,6.800E-02
-2.3070E-03,8.400E-02
-2.3065E-03,8.400E-02
-2.3060E-03,6.800E-02
-2.3055E-03,7.600E-02
-2.3050E-03,6.800E-02
-2.3045E-03,7.600E-02
-2.3040E-03,8.400E-02
-2.3035E-03,8.400E-02
-2.3030E-03,7.600E-02
-2.3025E-03,7.600E-02
-2.3020E-03,6.800E-02
-2.3015E-03,7.600E-02
-2.3010E-03,7.600E-02
-2.3005E-03,8.400E-02
-2.3000E-03,9.200E-02
-2.2995E-03,8.400E-02
-2.2990E-03,7.600E-02
-2.2985E-03,6.800E-02
-2.2980E-03,7.600E-02
-2.2975E-03,7.600E-02
-2.2970E-03,9.200E-02
-2.2965E-03,8.400E-02
-2.2960E-03,8.400E-02
-2.2955E-03,8.400E-02
-2.2950E-03,7.600E-02
-2.2945E-03,9.200E-02
-2.2940E-03,9.200E-02
-2.2935E-03,8.400E-02
-2.2930E-03,8.400E-02
-2.2925E-03,7.600E-02
-2.2920E-03,8.400E-02
-2.2915E-03,8.400E-02
-2.2910E-03,9.200E-02
-2.2905E-03,9.200E-02
-2.2900E-03,9.200E-02
-2.2895E-03,9.200E-02
-2.2890E-03,8.400E-02
-2.2885E-03,8.400E-02
-2.2880E-03,9.200E-02
-2.2875E-03,8.400E-02
-2.2870E-03,9.200E-02
-2.2865E-03,9.200E-02
-2.2860E-03,8.400E-02
-2.2855E-03,9.200E-02
-2.2850E-03,9.200E-02
-2.2845E-03,1.000E-01
-2.2840E-03,9.200E-02
-2.2835E-03,9.200E-02
-2.2830E-03,9.200E-02
-2.2825E-03,9.200E-02
-2.2820E-03,9.200E-02
-2.2815E-03,9.200E-02
-2.2810E-03,1.000E-01
-2.2805E-03,1.000E-01
-2.2800E-03,1.080E-01
-2.2795E-03,9.200E-02
-2.2790E-03,9.200E-02
-2.2785E-03,9.200E-02
-2.2780E-03,1.000E-01
-2.2775E-03,1.000E-01
-2.2770E-03,1.000E-01
-2.2765E-03,1.080E-01
-2.2760E-03,9.200E-02
-2.2755E-03,1.000E-01
-2.2750E-03,1.000E-01
-2.2745E-03,1.080E-01
-2.2740E-03,1.080E-01
-2.2735E-03,1.080E-01
-2.2730E-03,1.000E-01
-2.2725E-03,1.000E-01
-2.2720E-03,1.080E-01
-2.2715E-03,1.080E-01
-2.2710E-03,1.080E-01
-2.2705E-03,1.080E-01
-2.2700E-03,1.160E-01
-2.2695E-03,1.000E-01
-2.2690E-03,1.000E-01
