1.00000000000000e+001,-5.40754503490091e+001 ,1.76379635759215e+002°,-3.00396380808467e+001 ,-9.36140986179708e+001°,-6.00368268043861e+000 ,-3.61017624080655e+000°,-6.03804565330034e+000 ,1.76389862108408e+002°
1.02305972984251e+001,-5.36786141823888e+001 ,1.76296180499265e+002°,-2.98408217143885e+001 ,-9.36977052084665e+001°,-6.00288611386402e+000 ,-3.69387907074783e+000°,-6.03885548477938e+000 ,1.76306159998430e+002°
1.04665121082543e+001,-5.32817410152585e+001 ,1.76210757777332e+002°,-2.96419683474035e+001 ,-9.37832760829303e+001°,-6.00205254675487e+000 ,-3.77954419596287e+000°,-6.03970357440354e+000 ,1.76220495598079e+002°
1.07078670498640e+001,-5.28848291369503e+001 ,1.76123320188493e+002°,-2.94430762692118e+001 ,-9.38708587233179e+001°,-6.00118026842706e+000 ,-3.86721914739705e+000°,-6.04059175291999e+000 ,1.76132821375687e+002°
1.09547875712233e+001,-5.24878767584724e+001 ,1.76033819066851e+002°,-2.92441436908217e+001 ,-9.39605018708914e+001°,-6.00026748988437e+000 ,-3.95695271429091e+000°,-6.04152194090997e+000 ,1.76043088541213e+002°
1.12074020130978e+001,-5.20908820090107e+001 ,1.75942204445103e+002°,-2.90451687414215e+001 ,-9.40522555667841e+001°,-5.99931234031083e+000 ,-4.04879498477390e+000°,-6.04249615340852e+000 ,1.75951247005643e+002°
1.14658416757562e+001,-5.16938429322917e+001 ,1.75848425012227e+002°,-2.88461494647228e+001 ,-9.41461711943359e+001°,-5.99831286341335e+000 ,-4.14279738822607e+000°,-6.04351650478101e+000 ,1.75857245338626e+002°
1.17302408872161e+001,-5.12967574827348e+001 ,1.75752428069225e+002°,-2.86470838151478e+001 ,-9.42423015233051e+001°,-5.99726701360973e+000 ,-4.23901273950730e+000°,-6.04458521387337e+000 ,1.75761030724232e+002°
1.20007370730629e+001,-5.08996235215047e+001 ,1.75654159483044e+002°,-2.84479696538573e+001 ,-9.43407007560447e+001°,-5.99617265205618e+000 ,-4.33749528516166e+000°,-6.04570460945292e+000 ,1.75662548914742e+002°
1.22774708278787e+001,-5.05024388123669e+001 ,1.75553563638437e+002°,-2.82488047446117e+001 ,-9.44414245757723e+001°,-5.99502754250828e+000 ,-4.43830075171173e+000°,-6.04687713595838e+000 ,1.75561744182347e+002°
1.25605859883189e+001,-5.01052010173787e+001 ,1.75450583387298e+002°,-2.80495867494598e+001 ,-9.45445301970603e+001°,-5.99382934701031e+000 ,-4.54148639616663e+000°,-6.04810535957911e+000 ,1.75458559268630e+002°
1.28502297078731e+001,-4.97079076923870e+001 ,1.75345159996062e+002°,-2.78503132242503e+001 ,-9.46500764186645e+001°,-5.99257562140603e+000 ,-4.64711105887335e+000°,-6.04939197468475e+000 ,1.75352935331704e+002°
1.31465525333508e+001,-4.93105562823765e+001 ,1.75237233090314e+002°,-2.76509816139586e+001 ,-9.47581236788293e+001°,-5.99126381066595e+000 ,-4.75523521885077e+000°,-6.05073981062858e+000 ,1.75244811890870e+002°
1.34497084831302e+001,-4.89131441165895e+001 ,1.75126740596922e+002°,-2.74515892478241e+001 ,-9.48687341132461e+001°,-5.98989124402421e+000 ,-4.86592105175797e+000°,-6.05215183894890e+000 ,1.75134126768636e+002°
1.37598551272117e+001,-4.85156684034746e+001 ,1.75013618683321e+002°,-2.72521333342905e+001 ,-9.49819716157839e+001°,-5.98845512991969e+000 ,-4.97923249065397e+000°,-6.05363118099559e+000 ,1.75020816029945e+002°
1.40771536691173e+001,-4.81181262254249e+001 ,1.74897801693837e+002°,-2.70526109557458e+001 ,-9.50979019021965e+001°,-5.98695255073480e+000 ,-5.09523528972178e+000°,-6.05518111600995e+000 ,1.74904813918439e+002°
1.44017690296786e+001,-4.77205145333072e+001 ,1.74779222082862e+002°,-2.68530190630524e+001 ,-9.52165925769684e+001°,-5.98538045732653e+000 ,-5.21399709113649e+000°,-6.05680508968941e+000 ,1.74786052789578e+002°
1.47338699327572e+001,-4.73228301407815e+001 ,1.74657810344740e+002°,-2.66533544698643e+001 ,-9.53381132035099e+001°,-5.98373566334343e+000 ,-5.33558749527585e+000°,-6.05850672326996e+000 ,1.74664463040412e+002°
1.50736289929412e+001,-4.69250697183963e+001 ,1.74533494939959e+002°,-2.64536138467248e+001 ,-9.54625353778913e+001°,-5.98201483932291e+000 ,-5.46007813447952e+000°,-6.06028982316265e+000 ,1.74539973035809e+002°
1.54212228052647e+001,-4.65272297874622e+001 ,1.74406202217798e+002°,-2.62537937149384e+001 ,-9.55899328063621e+001°,-5.98021450656347e+000 ,-5.58754275058213e+000°,-6.06215839118302e+000 ,1.74412509030903e+002°
1.57768320369952e+001,-4.61293067136931e+001 ,1.74275856334702e+002°,-2.60538904402123e+001 ,-9.57203813868741e+001°,-5.97833103076624e+000 ,-5.71805727645787e+000°,-6.06411663541560e+000 ,1.74281995089528e+002°
1.61406415215389e+001,-4.57312967006088e+001 ,1.74142379168621e+002°,-2.58539002260624e+001 ,-9.58539592948802e+001°,-5.97636061544083e+000 ,-5.85169992183478e+000°,-6.06616898175904e+000 ,1.74148352998390e+002°
1.65128403545104e+001,-4.53331957827069e+001 ,1.74005690228611e+002°,-2.56538191069791e+001 ,-9.59907470736696e+001°,-5.97429929507106e+000 ,-5.98855126365090e+000°,-6.06832008620127e+000 ,1.74011502176685e+002°
