-1.000000000000000000e+00 -9.899891544799805931e-01 -8.085454005737306105e+00
-9.000000000000000222e-01 -8.894950007934567804e-01 -8.088724184570313724e+00
-8.000000000000000444e-01 -7.932607805786131561e-01 -8.089907463378906982e+00
-6.999999999999999556e-01 -6.936723787841797551e-01 -8.088358654174804485e+00
-5.999999999999999778e-01 -5.960965882629394308e-01 -8.084701372070313141e+00
-5.000000000000000000e-01 -4.989907818835449538e-01 -8.081355648803711489e+00
-3.999999999999999112e-01 -3.992396036206053989e-01 -8.076412675170898225e+00
-2.999999999999999334e-01 -3.022387068945312505e-01 -8.068391658935547994e+00
-1.999999999999999556e-01 -2.044288105596923921e-01 -8.061382346191406256e+00
-9.999999999999997780e-02 -1.065919889910888624e-01 -8.051878686523437523e+00
0.000000000000000000e+00 -1.154808694885253728e-02 -8.039650871582031399e+00
1.000000000000000888e-01 8.946893352355958506e-02 -8.026219306030274225e+00
2.000000000000001776e-01 1.853859419891357441e-01 -8.006705973510740648e+00
3.000000000000000444e-01 2.840983135223388301e-01 -7.976047680053710565e+00
4.000000000000001332e-01 3.848027424658203577e-01 8.524505036010742387e+00
5.000000000000000000e-01 4.811513391650390492e-01 8.529542478637694103e+00
6.000000000000000888e-01 5.801540003601074469e-01 8.531186586914062175e+00
7.000000000000001776e-01 6.774361236572266076e-01 8.533765359497069269e+00
8.000000000000000444e-01 7.758224576416016260e-01 8.535170815429687252e+00
9.000000000000001332e-01 8.726371459350584781e-01 8.537853652954101591e+00
1.000000000000000000e+00 9.705058479614256939e-01 8.540257142944335911e+00
