,0,1,2,3,4
0,0.26728,0.26728,0.26728,0.26728,0.26728
1,0.267011,0.267011,0.267011,0.267011,0.267011
2,0.26728,0.26728,0.26728,0.26728,0.26728
3,0.269026,0.269026,0.269026,0.269026,0.269026
4,0.269698,0.269698,0.269698,0.269698,0.269698
5,0.264191,0.264191,0.264191,0.264191,0.264191
6,0.272115,0.272115,0.272115,0.272115,0.272115
7,0.270503,0.270503,0.270503,0.270503,0.270503
8,0.270369,0.270369,0.270369,0.270369,0.270369
9,0.268892,0.268892,0.268892,0.268892,0.268892
10,0.269429,0.269429,0.269429,0.269429,0.269429
11,0.271847,0.271847,0.271847,0.271847,0.271847
12,0.271175,0.271175,0.271175,0.271175,0.271175
13,0.271175,0.271175,0.271175,0.271175,0.271175
14,0.271175,0.271175,0.271175,0.271175,0.271175
15,0.271309,0.271309,0.271309,0.271309,0.271309
16,0.270772,0.270772,0.270772,0.270772,0.270772
17,0.270638,0.270638,0.270638,0.270638,0.270638
18,0.273055,0.273055,0.273055,0.273055,0.273055
19,0.273324,0.273324,0.273324,0.273324,0.273324
20,0.273458,0.273458,0.273458,0.273458,0.273458
21,0.273055,0.273055,0.273055,0.273055,0.273055
22,0.27319,0.27319,0.27319,0.27319,0.27319
23,0.27319,0.27319,0.27319,0.27319,0.27319
24,0.273458,0.273458,0.273458,0.273458,0.273458
25,0.273055,0.273055,0.273055,0.273055,0.273055
26,0.275204,0.275204,0.275204,0.275204,0.275204
27,0.275742,0.275742,0.275742,0.275742,0.275742
28,0.275204,0.275204,0.275204,0.275204,0.275204
29,0.275204,0.275204,0.275204,0.275204,0.275204
30,0.275204,0.275204,0.275204,0.275204,0.275204
31,0.274936,0.274936,0.274936,0.274936,0.274936
32,0.27507,0.27507,0.27507,0.27507,0.27507
33,0.27601,0.27601,0.27601,0.27601,0.27601
34,0.277219,0.277219,0.277219,0.277219,0.277219
35,0.277219,0.277219,0.277219,0.277219,0.277219
36,0.27695,0.27695,0.27695,0.27695,0.27695
37,0.277219,0.277219,0.277219,0.277219,0.277219
38,0.277219,0.277219,0.277219,0.277219,0.277219
39,0.277085,0.277085,0.277085,0.277085,0.277085
40,0.277219,0.277219,0.277219,0.277219,0.277219
41,0.278831,0.278831,0.278831,0.278831,0.278831
42,0.279368,0.279368,0.279368,0.279368,0.279368
43,0.279368,0.279368,0.279368,0.279368,0.279368
44,0.279368,0.279368,0.279368,0.279368,0.279368
45,0.279368,0.279368,0.279368,0.279368,0.279368
