TIME  IN1  IN2  OUT1
3.389  -0.522461  3.602295  -0.5
3.379  -0.52063  3.600464  -0.5
3.369  -0.516357  3.598022  -0.5
3.359  -0.514526  3.598633  -0.5
3.35  -0.512695  3.597412  -0.5
3.34  -0.511475  3.596802  -0.5
3.33  -0.510254  3.597412  -0.5
3.32  -0.507202  3.598633  -0.5
3.311  -0.505981  3.600464  -0.5
3.301  -0.504761  3.601685  -0.5
3.291  -0.50415  3.602905  -0.5
3.281  -0.50293  3.604736  -0.5
3.271  -0.501099  3.610229  -0.5
3.262  -0.500488  3.603516  -0.5
3.252  -0.507202  1.553345  -0.5
3.242  -0.515747  -1.984863  -0.5
3.232  -0.513916  -3.0896  -0.5
3.223  -0.505371  -1.419067  -0.5
3.213  -0.497437  1.807251  -0.5
3.203  -0.501099  0.759888  -0.5
3.193  -0.505371  -0.809937  -0.5
3.184  -0.505371  -1.396484  -0.5
3.174  -0.501709  -0.738525  -0.5
3.164  -0.497437  0.751953  -0.5
3.154  -0.499268  0.345459  -0.5
3.145  -0.500488  -0.348511  -0.5
3.135  -0.500488  -0.654907  -0.5
3.125  -0.498047  -0.383301  -0.5
3.115  -0.496826  0.331421  -0.5
3.105  -0.498047  0.147095  -0.5
3.096  -0.498657  -0.180664  -0.5
3.086  -0.498047  -0.322266  -0.5
3.076  -0.496826  -0.200806  -0.5
3.066  -0.495605  0.132446  -0.5
3.057  -0.496216  0.053101  -0.5
3.047  -0.496826  -0.08728  -0.5
3.037  -0.496216  -0.148926  -0.5
3.027  -0.495605  -0.105591  -0.5
3.018  -0.495605  -0.016479  -0.5
3.008  -0.380859  -0.450439  -0.5
2.998  0.549927  -3.36731  0.5
2.988  0.552368  -3.377075  0.5
2.979  0.550537  -3.372803  0.5
2.969  0.546265  -3.36731  0.5
2.959  0.53833  -3.354492  0.5
2.949  0.534058  -3.349609  0.5
2.939  0.531616  -3.344727  0.5
2.93  0.527954  -3.341064  0.5
2.92  0.525513  -3.337402  0.5
2.91  0.52002  -3.33374  0.5
2.9  0.516968  -3.334351  0.5
2.891  0.515137  -3.335571  0.5
2.881  0.512695  -3.334351  0.5
2.871  0.510254  -3.33374  0.5
2.861  0.507202  -3.33252  0.5
2.852  0.504761  -3.33252  0.5
2.842  0.50354  -3.331909  0.5
2.832  0.502319  -3.331909  0.5
2.822  0.500488  -3.331909  0.5
2.813  0.498657  -3.331299  0.5
2.803  0.497437  -3.331299  0.5
2.793  0.496216  -3.330688  0.5
2.783  0.495605  -3.328857  0.5
2.773  0.493774  -3.327637  0.5
2.764  0.493164  -3.325806  0.5
2.754  0.491943  -3.312988  0.5
2.744  0.491333  -3.167725  0.5
2.734  0.496216  -1.439819  0.5
2.725  0.502319  1.251221  0.5
2.715  0.502319  2.348022  0.5
2.705  0.490723  -0.523071  0.5
2.695  0.488892  -1.297607  0.5
2.686  0.492554  -0.650635  0.5
2.676  0.495605  0.540771  0.5
2.666  0.494995  1.080933  0.5
2.656  0.489502  -0.152588  0.5
2.646  0.488281  -0.553589  0.5
2.637  0.490112  -0.298462  0.5
2.627  0.491333  0.246582  0.5
2.617  0.491333  0.515137  0.5
2.607  0.488892  -0.027466  0.5
2.598  0.488281  -0.20874  0.5
2.588  0.488892  -0.115967  0.5
2.578  0.488892  0.117798  0.5
2.568  0.488892  0.233154  0.5
2.559  0.487671  0.015259  0.5
2.549  0.487061  -0.057373  0.5
2.539  0.487671  -0.031128  0.5
2.529  0.487061  0.043945  0.5
2.52  0.487671  0.10498  0.5
2.51  0.487671  0.103149  0.5
2.5  -0.554199  3.639526  0.5
2.49  -0.559692  3.659668  -0.5
2.48  -0.557251  3.659058  -0.5
