TIME  IN1  IN2  OUT1
3.662  0.316772  2.537231  0.324219
3.652  0.296631  1.689453  0.304688
3.643  0.278931  1.345215  0.285156
3.633  0.263062  1.680908  0.265625
3.623  0.231323  2.475586  0.246094
3.613  0.213013  2.260132  0.226562
3.604  0.194092  1.895142  0.207031
3.594  0.177612  1.717529  0.1875
3.584  0.161133  1.838989  0.167969
3.574  0.128784  2.180786  0.148438
3.564  0.111694  2.095947  0.128906
3.555  0.093994  1.92688  0.109375
3.545  0.078125  1.856079  0.089844
3.535  0.061035  1.914062  0.070312
3.525  0.028687  2.055054  0.050781
3.516  0.011597  2.001343  0.03125
3.506  -0.004883  1.934204  0.011719
3.496  -0.021362  1.897583  -0.007812
3.486  -0.037842  1.8927  -0.027344
3.477  -0.053711  1.947632  -0.046875
3.467  -0.08667  2.011719  -0.066406
3.457  -0.103149  1.947021  -0.085938
3.447  -0.119629  1.906738  -0.105469
3.438  -0.135498  1.90918  -0.125
3.428  -0.152588  1.948242  -0.144531
3.418  -0.184326  1.97998  -0.164062
3.408  -0.200806  1.946411  -0.183594
3.398  -0.217285  1.914062  -0.203125
3.389  -0.233154  1.901855  -0.222656
3.379  -0.249634  1.934204  -0.242188
3.369  -0.281982  1.94397  -0.261719
3.359  -0.297852  1.928101  -0.28125
3.35  -0.313721  1.941528  -0.300781
3.34  -0.3302  1.940918  -0.320312
3.33  -0.346069  1.941528  -0.339844
3.32  -0.378418  1.92749  -0.359375
3.311  -0.394897  1.920166  -0.378906
3.301  -0.410767  1.920166  -0.398438
3.291  -0.426636  1.936646  -0.417969
3.281  -0.443115  1.942139  -0.4375
3.271  -0.474854  1.919556  -0.457031
3.262  -0.491333  1.929932  -0.476562
3.252  -0.505981  1.932373  -0.496094
3.242  -0.501709  0.78064  -0.484375
3.232  -0.493164  -2.350464  -0.464844
3.223  -0.474854  -3.605957  -0.445312
3.213  -0.432739  -2.954712  -0.425781
3.203  -0.411377  -1.824951  -0.40625
3.193  -0.393066  -1.188965  -0.386719
3.184  -0.377197  -1.498413  -0.367188
3.174  -0.361328  -2.228394  -0.347656
3.164  -0.325928  -2.483521  -0.328125
3.154  -0.307007  -1.973877  -0.308594
3.145  -0.289307  -1.638184  -0.289062
3.135  -0.272827  -1.730347  -0.269531
3.125  -0.256348  -2.062988  -0.25
3.115  -0.222168  -2.22229  -0.230469
3.105  -0.204468  -2.001953  -0.210938
3.096  -0.187378  -1.846313  -0.191406
3.086  -0.170898  -1.856689  -0.171875
3.076  -0.154419  -1.986694  -0.152344
3.066  -0.12085  -2.084961  -0.132812
3.057  -0.10376  -1.989746  -0.113281
3.047  -0.08728  -1.923828  -0.09375
3.037  -0.070801  -1.928711  -0.074219
3.027  -0.054321  -1.978149  -0.054688
3.018  -0.037231  -1.986694  -0.035156
3.008  -0.004272  -1.968994  -0.015625
2.998  0.012207  -1.942139  0.003906
2.988  0.028687  -1.912842  0.023438
2.979  0.044556  -1.937866  0.042969
2.969  0.061035  -1.973267  0.0625
2.959  0.093384  -1.956177  0.082031
2.949  0.109863  -1.94458  0.101562
2.939  0.126343  -1.941528  0.121094
2.93  0.142822  -1.931763  0.140625
2.92  0.158691  -1.937256  0.160156
2.91  0.19165  -1.954346  0.179688
2.9  0.20752  -1.932373  0.199219
2.891  0.223999  -1.933594  0.21875
2.881  0.240479  -1.936646  0.238281
2.871  0.256348  -1.939697  0.257812
2.861  0.288696  -1.936646  0.277344
2.852  0.305176  -1.947632  0.296875
2.842  0.320435  -1.947021  0.316406
2.832  0.337524  -1.928711  0.335938
2.822  0.353394  -1.915283  0.355469
2.813  0.385132  -1.920776  0.375
2.803  0.401611  -1.94397  0.394531
2.793  0.41748  -1.958618  0.414062
2.783  0.43335  -1.965942  0.433594
2.773  0.450439  -1.929932  0.453125
2.764  0.466309  -1.878662  0.472656
2.754  0.497437  -1.947632  0.492188
2.744  0.493774  -0.890503  0.488281
2.734  0.484619  2.276001  0.46875
2.725  0.467529  3.905029  0.449219
2.715  0.446777  3.910522  0.429688
2.705  0.401611  1.274414  0.410156
2.695  0.383301  0.498047  0.390625
2.686  0.369263  1.30249  0.371094
2.676  0.355225  2.571411  0.351562
2.666  0.337524  3.115845  0.332031
2.656  0.297241  1.749268  0.3125
2.646  0.280151  1.344604  0.292969
2.637  0.264282  1.665039  0.273438
2.627  0.249023  2.218018  0.253906
2.617  0.231934  2.476807  0.234375
2.607  0.195923  1.897583  0.214844
2.598  0.178833  1.721191  0.195312
2.588  0.162354  1.832275  0.175781
2.578  0.146484  2.052612  0.15625
2.568  0.130005  2.177124  0.136719
2.559  0.095215  1.942749  0.117188
2.549  0.078735  1.851807  0.097656
2.539  0.062256  1.897583  0.078125
2.529  0.046387  1.99585  0.058594
2.52  0.029907  2.052002  0.039062
2.51  0.012817  2.024536  0.019531
2.5  -0.020752  1.893921  0
2.49  -0.036011  1.884766  -0.019531
2.48  -0.053101  1.962891  -0.039062
2.471  -0.06897  2.022095  -0.058594
2.461  -0.085449  2.000732  -0.078125
2.451  -0.119019  1.906128  -0.097656
2.441  -0.134888  1.911011  -0.117188
2.432  -0.151367  1.953125  -0.136719
2.422  -0.167236  1.960449  -0.15625
2.412  -0.183105  1.967163  -0.175781
2.402  -0.216064  1.925049  -0.195312
2.393  -0.231934  1.917725  -0.214844
2.383  -0.248413  1.940308  -0.234375
2.373  -0.264893  1.956787  -0.253906
2.363  -0.281372  1.938477  -0.273438
2.354  -0.3125  1.921997  -0.292969
2.344  -0.32959  1.948853  -0.3125
2.334  -0.345459  1.948242  -0.332031
2.324  -0.361328  1.947021  -0.351562
2.314  -0.377197  1.932373  -0.371094
2.305  -0.409546  1.917725  -0.390625
2.295  -0.426025  1.931152  -0.410156
2.285  -0.441895  1.930542  -0.429688
2.275  -0.458374  1.94519  -0.449219
2.266  -0.474854  1.918335  -0.46875
2.256  -0.490723  1.907349  -0.488281
2.246  -0.502319  0.958862  -0.492188
2.236  -0.493774  -2.130127  -0.472656
2.227  -0.476074  -3.605347  -0.453125
2.217  -0.455322  -3.567505  -0.433594
2.207  -0.43457  -3.018799  -0.414062
2.197  -0.393677  -1.206665  -0.394531
2.188  -0.378418  -1.436768  -0.375
2.178  -0.363159  -2.17041  -0.355469
2.168  -0.346069  -2.653198  -0.335938
2.158  -0.327148  -2.505493  -0.316406
2.148  -0.290527  -1.680908  -0.296875
2.139  -0.274048  -1.721191  -0.277344
2.129  -0.258179  -2.043457  -0.257812
2.119  -0.241089  -2.27356  -0.238281
2.109  -0.223389  -2.218018  -0.21875
2.1  -0.189209  -1.852417  -0.199219
2.09  -0.172119  -1.865234  -0.179688
2.08  -0.15564  -1.975708  -0.160156
2.07  -0.13916  -2.075806  -0.140625
2.061  -0.12207  -2.081909  -0.121094
2.051  -0.089111  -1.928101  -0.101562
2.041  -0.072021  -1.932983  -0.082031
2.031  -0.055542  -1.976318  -0.0625
2.021  -0.039062  -2.005005  -0.042969
2.012  -0.022583  -1.992798  -0.023438
2.002  -0.005493  -1.96106  -0.003906
1.992  0.027466  -1.899414  0.015625
1.982  0.043335  -1.940918  0.035156
1.973  0.059814  -1.993408  0.054688
1.963  0.076294  -1.989136  0.074219
1.953  0.092773  -1.956787  0.09375
1.943  0.125732  -1.920166  0.113281
1.934  0.141602  -1.92749  0.132812
1.924  0.157471  -1.96167  0.152344
1.914  0.17395  -1.97937  0.171875
1.904  0.19104  -1.956177  0.191406
1.895  0.222778  -1.911011  0.210938
1.885  0.238647  -1.936035  0.230469
1.875  0.254517  -1.978149  0.25
1.865  0.271606  -1.937866  0.269531
1.855  0.287476  -1.906738  0.289062
1.846  0.319214  -1.951294  0.308594
1.836  0.336304  -1.96167  0.328125
1.826  0.352173  -1.934814  0.347656
1.816  0.368652  -1.912231  0.367188
1.807  0.383911  -1.915894  0.386719
1.797  0.41687  -1.941528  0.40625
1.787  0.432739  -1.949463  0.425781
